"epsilon1","epsilon2","tfinal","G","R","P","Tc","V","mut","trans","Vtot","nu","cancer"
0,0.5,11776.34,242.6,2.2,19.56,1.4,77.44,0,5.4,744479.28,5e-15,0
0,1.1,1223.56,0,0,0.16,47.16,0.88,0,11.4,12318405.44,5e-15,0
0,0.9,1420.46,0,0,0.08,40.04,0.24,0,12.48,10283855.48,5e-15,0
0,1.3,1308.04,0,0,0,49.76,0.68,0,11.08,17459643.76,5e-15,0
0,0.7,4110.1,3.76,0.04,0.52,19.56,1.64,0,16.72,6640596.44,5e-15,0
0,1.5,2773.86,0,0,0.04,49.96,0.08,0,14.04,23196194.04,5e-15,0
0,2.1,17065.18,939960227.24,29799927.12,85050642.04,50.08,340199953.16,0.12,563.16,2707375307641.28,5e-15,0.12
0,1.7,17660,126.24,3.6,10.64,50.04,42.6,0,26.32,49346481.28,5e-15,0
0,1.9,18250.5,2158942.72,68374.04,195325.52,50,781152.44,0,592.4,6287793428.08,5e-15,0
0,2.3,14702.24,1735091547.4,54974075.32,157061956.76,50,628243275.44,0.44,484.88,4394955283263.12,5e-15,0.44
0,2.5,12834.7,2376334935.56,75474431.56,215174889.4,50.16,860707310.04,0.48,423.28,5281670325039.8,5e-15,0.48
0,2.7,11089.04,2949667597.32,93578824.2,267177014.84,50.04,1068670331.52,0.72,365.36,5693511129640.84,5e-15,0.72
0,2.9,12630.2,3364764347.52,107607639.84,304895862,50.28,1218793518.92,0.64,416.96,7562962095805.16,5e-15,0.64
0,3.1,10015.72,3843682239.04,122252443.56,348307978.08,50.2,1393237522.28,0.76,330.04,6735881073269.72,5e-15,0.76
0,3.3,11907.6,4209075079.08,134043456.16,381502696.84,50.28,1526013660.88,0.68,393.52,8833198735578.64,5e-15,0.68
0,3.5,10198.86,4545280515.08,144619422.28,412040761.16,50.2,1648173956.8,0.68,336.48,8160701243428.96,5e-15,0.68
0,3.7,13379.02,4827597198.08,153962857.72,437700331.28,50.36,1750795846.64,0.48,442.76,11491625664410.1,5e-15,0.48
0,3.9,11125.24,5097723825.32,162425187.08,462255311.4,50.28,1849022477.48,0.64,367.52,10054960730670.1,5e-15,0.64
0,4.1,8037.68,5335946000.72,170053853.28,483910887.68,50.28,1935637682.48,0.8,264.76,7545906667646.2,5e-15,0.8
0,4.3,9069.4,5540058197.88,177061156.4,502484265.8,50.48,2009932262.16,0.76,299.36,8892639647485.12,5e-15,0.76
0,4.7,8388.6,5931252657.44,189039692.88,538083312.76,50.24,2152201484.48,0.92,276.72,8826067043626.16,5e-15,0.92
0,4.5,10468.72,5745113839.12,183325799,521131838.36,50.36,2084515632.16,0.8,346.12,10696938220351.5,5e-15,0.8
0,4.9,9082.84,6093983174.88,194378754.84,552878902.8,50.32,2211526378.44,0.76,300.12,9844986222346.84,5e-15,0.76
0,5.1,8216.5,6225043309.24,199684898.32,564900556,50.36,2257717750.4,0.84,271.36,9115745540479.96,5e-15,0.84
0.025,0.5,11827.58,238.28,2.32,18.2,1.68,74.64,0,5.4,838848,5e-15,0
0.025,1.1,1217.52,0,0,0.04,47.44,0.16,0,10.52,12452765.28,5e-15,0
0.025,0.9,1387.04,0,0,0.08,41.16,0.4,0,11.8,10003432.52,5e-15,0
0.025,1.3,1349.7,0,0,0.04,49.6,0.4,0,10.96,16013333.72,5e-15,0
0.025,0.7,3919.88,0,0,0.28,20.84,1,0,15.64,6679113.32,5e-15,0
0.025,1.5,2690.94,0,0,0,50.04,0.76,0,14.08,26779850.84,5e-15,0
0.025,2.1,17549.78,1015906126.96,31945898.88,91268139.32,50,365066661.56,0.16,579.64,3004487600677.56,5e-15,0.16
0.025,1.7,18250.5,145.24,4.32,12.52,50,51.44,0,27.28,54797590.36,5e-15,0
0.025,1.9,18250.5,65572851.36,2060970.92,5888052.8,50.12,23553856,0,569.4,120084038328,5e-15,0
