"epsilon1","epsilon2","tfinal","G","R","P","Tc","V","mut","trans","Vtot","nu","numGclasses","cancer"
0,0.5,366.24,0,0,0,1,0,0,0,0,5e-15,4,0
0,0.7,995.52,0,0,0,1,0,0,0,23.04,5e-15,4,0
0,1.5,1938.54,0,0,0,31.08,0,0,0,8584.36,5e-15,4,0
0,1.3,3711.32,0,0,0,22.24,0,0,0.08,19441.96,5e-15,4,0
0,1.7,1492.54,0,0,0,40.48,0,0,0.08,5586.76,5e-15,4,0
0,1.9,1325.48,0,0,0,44.36,0,0,0,3654.48,5e-15,4,0
0,1.1,14794.22,80.6,2.44,0,7.48,0,0,0.24,41883.6,5e-15,4,0
0,0.9,16818.06,268.12,5.24,0.56,1.4,2.44,0,0.04,31673.8,5e-15,4,0
0,2.1,1279.2,0,0,0,48.2,0,0,0,2443.08,5e-15,4,0
0,2.3,1380.18,0,0,0,49.2,0,0,0.04,2187.6,5e-15,4,0
0,2.5,1824.92,0,0,0,49.92,0,0,0.04,1729.88,5e-15,4,0
0,2.7,2940.54,0,0,0,50.04,0,0,0,2069.72,5e-15,4,0
0,2.9,12180.64,21.28,1.52,0,50.08,0,0,0.08,2937.8,5e-15,4,0
0,3.1,18250.5,107.8,7.6,0,50,0,0,0,3489.6,5e-15,4,0
0,3.3,18250.5,282.2,18.76,0,50.04,0,0,0.08,7176.96,5e-15,4,0
0,3.5,18250.5,3195790,223583.4,21.92,50,88.24,0,6,793017.04,5e-15,4,0
0,3.7,15402.74,531693045.4,37241189.56,630.6,50.04,2524.2,8.4,88.8,16848563.72,5e-15,4,0.28
0,3.9,15329.7,1020524576.52,71472044.44,1156.84,50.04,4631.8,9.6,147.88,32487417.48,5e-15,4,0.32
0,4.1,12127.4,1443209514.72,101245566.96,1669.04,50.12,6668.4,19.2,151.2,37723395.12,5e-15,4,0.64
0,4.3,11698.26,1800449653.28,126396264.12,2100.36,50.04,8402.32,18,174.88,47845674.56,5e-15,4,0.6
0,4.7,8871.08,2544546195.08,178310067.96,2948,50.08,11769.16,27.6,150.4,48550290.12,5e-15,4,0.92
0,4.5,10141.06,2203191614.44,154538176.4,2564.56,50.04,10265.72,21.6,158.68,49090545,5e-15,4,0.72
0,4.9,11670.76,2840813556.72,199293838.96,3345.92,50.16,13392.68,21.6,209.76,74099463.4,5e-15,4,0.72
0,5.1,9466.02,3121542912.04,219001290.56,3638.56,50.16,14557.04,24,177.52,65403582.56,5e-15,4,0.8
0.025,0.5,261.86,0,0,0,1,0,0,0,0,5e-15,4,0
0.025,0.7,1126.96,0,0,0.12,1,0.84,0,0,474.8,5e-15,4,0
0.025,1.5,1915.68,0,0,0,31.88,0,0,0.12,8548.52,5e-15,4,0
0.025,1.3,4087.24,0,0,0,21.24,0,0,0,16036.36,5e-15,4,0
0.025,1.7,1450.42,0,0,0,42.48,0,0,0.04,5866.52,5e-15,4,0
0.025,1.9,1296.56,0,0,0,45.6,0,0,0.04,4131.16,5e-15,4,0
0.025,1.1,16269.64,95.04,2.96,0.08,8.84,0.28,0,0.52,37902.72,5e-15,4,0
0.025,0.9,17377.3,339.04,6.24,0.76,1.64,3.2,0,0.36,42619.6,5e-15,4,0
0.025,2.1,1267.08,0,0,0,48,0,0,0.04,3004.84,5e-15,4,0
0.025,2.3,1486.16,0,0,0,49.08,0,0,0,2241.36,5e-15,4,0
0.025,2.5,1812.2,0,0,0,49.92,0,0,0,1951.84,5e-15,4,0
0.025,2.7,3684,0,0,0,49.96,0,0,0,1999.4,5e-15,4,0
0.025,2.9,11189.82,30.84,2.04,0,50,0,0,0,2576.72,5e-15,4,0
0.025,3.1,18250.5,124.52,9.4,0,50.08,0,0,0.08,3109.84,5e-15,4,0
0.025,3.3,18250.5,371.88,24,0,50,0,0,0.04,10582.12,5e-15,4,0
0.025,3.5,18250.5,67928258.08,4722402.72,0,50.04,0,0,1.28,169517.76,5e-15,4,0
0.025,3.7,15453.58,583163781.12,40612692.32,653.36,50.12,2615.44,8.4,93.24,17869401.4,5e-15,4,0.28
0.025,3.9,12600.56,1064518304.56,74109270.44,1279.68,50.04,5124.04,15.6,128.88,29802462.48,5e-15,4,0.52
0.025,4.1,11966.84,1514599223.12,105376467.08,1782.04,50.08,7119.56,19.2,155.48,39410518.96,5e-15,4,0.64
0.025,4.3,11252.52,1904629706.52,132586393.52,2251.96,50.12,8998,21.6,163.28,46893304.44,5e-15,4,0.72
0.025,4.7,9945.62,2589358561.64,180359084.8,3069.08,50.16,12278.28,26.4,172.6,57354735.72,5e-15,4,0.88
0.025,4.5,9411.44,2259995841.04,157416261.64,2716.64,50.16,10895.28,22.8,152.16,47567499.96,5e-15,4,0.76
0.025,4.9,9892.86,2895885187.48,201595860.96,3463,50.12,13871.16,22.8,181,64463446.48,5e-15,4,0.76
0.025,5.1,7670.78,3170345268.08,220835846.4,3775.44,50.16,15114.6,27.6,144.4,54039327.64,5e-15,4,0.92
0.05,0.5,362.34,0,0,0,1,0,0,0,0,5e-15,4,0
0.05,0.7,1824.5,0,0,0.08,1,0.32,0,0.04,450.32,5e-15,4,0
0.05,1.5,1760.5,0,0,0,34.48,0,0,0.04,8698.6,5e-15,4,0
0.05,1.3,3595.68,3,0.04,0,21.72,0,0,0.08,15173.8,5e-15,4,0
0.05,1.7,1490.56,0,0,0,40.84,0,0,0.04,5329.12,5e-15,4,0
0.05,1.9,1333.84,0,0,0,45.28,0,0,0.08,3388.08,5e-15,4,0
0.05,1.1,13955.34,55.44,0.96,0,11.12,0,0,0.16,37914.88,5e-15,4,0
0.05,0.9,15387,336.44,6.76,1.08,1.92,3.84,0,0.36,47471.28,5e-15,4,0
0.05,2.1,1387.36,0,0,0,48.56,0,0,0.04,2993.52,5e-15,4,0
0.05,2.3,1437.48,0,0,0,49.56,0,0,0.12,2276.28,5e-15,4,0
0.05,2.5,1806.92,0,0,0,50,0,0,0.04,2084.76,5e-15,4,0
0.05,2.7,3698.34,0,0,0,50,0,0,0,2083.48,5e-15,4,0
0.05,2.9,17072.6,61.28,4.16,0,50.08,0,0,0,2826.64,5e-15,4,0
0.05,3.1,18250.5,133.64,9.6,0,50.08,0,0,0.08,3885.16,5e-15,4,0
0.05,3.3,18250.5,434.6,29.32,0,50,0,0,0.12,11843.16,5e-15,4,0
0.05,3.5,18250.5,126154895.04,8705350.56,144.44,50.12,582.2,0,21.6,3462539.52,5e-15,4,0
0.05,3.7,14373.08,659282491.76,45553892.48,781.12,50.12,3131.96,13.2,101.96,19593206.72,5e-15,4,0.44
0.05,3.9,15000.52,1143572101.36,78987031.56,1410.68,50.08,5633.76,13.2,162.28,39123715.72,5e-15,4,0.44
0.05,4.1,10975.76,1553423547.2,107515273.76,1859.92,50.16,7435.04,18,140.4,37747155.36,5e-15,4,0.6
0.05,4.3,11765.82,1962674351.44,135647909.4,2397.6,50.12,9597.32,16.8,182.64,53338818.88,5e-15,4,0.56
0.05,4.7,11879.64,2650658718.12,183099470.04,3238.28,50.08,12972.72,20.4,209.24,73766480.12,5e-15,4,0.68
0.05,4.5,9987.28,2293283508.04,159012227.76,2782.36,50.36,11148.72,22.8,162.36,51125806.8,5e-15,4,0.76
0.05,4.9,8803.68,2949326470.96,203766778,3606.88,50.08,14462.28,26.4,166.48,60068673.68,5e-15,4,0.88
0.05,5.1,10360.68,3227279024.84,222934179.48,3994.84,50.08,15965.04,20.4,204.64,79199367.44,5e-15,4,0.68
0.075,0.5,386.92,0,0,0.04,1,0.24,0,0,12.4,5e-15,4,0
0.075,0.7,1533.74,0,0,0.04,1,0.08,0,0,424,5e-15,4,0
0.075,1.5,1763.58,0,0,0,35,0,0,0,9632.96,5e-15,4,0
0.075,1.3,2997.5,0,0,0,23.68,0,0,0.08,13326.04,5e-15,4,0
0.075,1.7,1384.76,0,0,0,43.24,0,0,0.04,5635.24,5e-15,4,0
0.075,1.9,1302.76,0,0,0,45.4,0,0,0.04,3507.68,5e-15,4,0
0.075,1.1,11021.56,38.6,0.88,0,11.92,0,0,0.16,37689.6,5e-15,4,0
