"epsilon1","epsilon2","tfinal","G","R","Tc","V","mut","trans","Vtot","nu","cancer"
0,0.7,1228.42,0,0,1,0.84,0,0.08,15364.6,5e-15,0
0,0.5,458.8,0,0,1,0.92,0,0,1697.04,5e-15,0
0,1.3,3060.76,0,0,23.96,2.04,0,25.28,21183434.56,5e-15,0
0,1.5,1957.94,0,0,33.32,0.68,0,19.16,23618161.92,5e-15,0
0,1.7,1457.14,0,0,42.04,0.76,0,16.48,30354316.8,5e-15,0
0,1.9,1343.1,0,0,45.52,1.24,0,14.48,33443006.56,5e-15,0
0,0.9,16804.34,259.44,4.56,1.76,257.76,0,16.28,2568446.92,5e-15,0
0,1.1,12203.7,50.2,1.2,9.6,49.84,0,39.2,14198443.44,5e-15,0
0,2.1,1251,0,0,48.84,1.24,0,14.12,42151970.92,5e-15,0
0,2.3,1422.76,0,0,49.76,1.12,0,14.84,53396700.16,5e-15,0
0,2.5,1709.94,0,0,49.84,1.32,0,15.72,62056241.84,5e-15,0
0,2.7,3466.84,0,0,50,1.36,0,17.72,65170700.56,5e-15,0
0,2.9,11519.3,10.16,0.88,50,9.48,0,24.08,94671309.56,5e-15,0
0,3.1,18250.5,110.2,6.76,50.08,114.48,0,38.28,145798694.72,5e-15,0
0,3.3,18250.5,278.64,15.96,50.04,272.76,0,81.96,360620832.92,5e-15,0
0,3.5,17586.64,134406852.52,9275747.8,50.04,134402248.92,0.08,580.04,830168694318.12,5e-15,0.08
0,3.7,16482.08,666052980.48,46004707.44,50,666047464.92,0.2,544,4962663483685.04,5e-15,0.2
0,3.9,14348.5,1133192495.96,78368909.56,50.04,1133198448.76,0.4,473.16,7563033593383.96,5e-15,0.4
0,4.1,12062.56,1550054249.2,107376811.52,50.08,1549941037.08,0.72,397.28,8717136549805.96,5e-15,0.72
0,4.3,10487.98,1938600192.8,134387001.56,50.12,1938591184.8,0.76,345.04,9498711336743.08,5e-15,0.76
0,4.5,8394.68,2291526543.08,158963914.4,50.12,2291469536.04,0.88,275.4,8929391118157.52,5e-15,0.88
0,4.7,10444.94,2621250820.4,181802293.44,50.08,2621240572.48,0.76,344.04,12992313058217.6,5e-15,0.76
0,4.9,8033.22,2918986473.04,202551649.16,50.08,2919002043.96,0.96,263.96,11041252758273.2,5e-15,0.96
