"epsilon1","epsilon2","tfinal","G","R","P","Tc","V","mut","trans","Vtot","nu","numGclasses","cancer"
0,0.5,259.783333333333,0,0,0.0333333333333333,1,0.133333333333333,0,0,1.3,5e-15,4,0
0,0.7,1107.5,0,0,0.166666666666667,1,0.833333333333333,0,0,241.9,5e-15,4,0
0,1.5,2034.65,0,0,0,30.8,0,0,0,8969.9,5e-15,4,0
0,1.7,1533.91666666667,0,0,0,39.1333333333333,0,0,0.0333333333333333,5835.26666666667,5e-15,4,0
0,1.9,1323.63333333333,0,0,0,45.6,0,0,0,3983.23333333333,5e-15,4,0
0,1.3,4374.91666666667,3.03333333333333,0.0333333333333333,0,21.8333333333333,0,0,0.1,18493.7666666667,5e-15,4,0
0,0.9,15256.6333333333,229.966666666667,4.83333333333333,0.466666666666667,1.5,1.46666666666667,0,0.233333333333333,25781.7666666667,5e-15,4,0
0,1.1,15683.5166666667,118.566666666667,2.2,0.0333333333333333,7.4,0.0666666666666667,0,0.233333333333333,48434.7666666667,5e-15,4,0
0,2.1,1281.4,0,0,0,48.1666666666667,0,0,0,2753.3,5e-15,4,0
0,2.3,1304.95,0,0,0,49.5666666666667,0,0,0,2316.93333333333,5e-15,4,0
0,2.5,1621.15,0,0,0,49.9,0,0,0,2055.73333333333,5e-15,4,0
0,2.7,3265.21666666667,0,0,0,50,0,0,0,1834.13333333333,5e-15,4,0
0,2.9,12548.4166666667,28.4,1.7,0,50.0666666666667,0,0,0.0666666666666667,2282.33333333333,5e-15,4,0
0,3.1,17832.9,109.666666666667,7.1,0,50.1333333333333,0,0,0.0333333333333333,3621.2,5e-15,4,0
0,3.3,18250.5,283.4,18.8666666666667,0,50.0333333333333,0,0,0.0666666666666667,6683.4,5e-15,4,0
0,3.5,18250.5,3197892.8,223822.133333333,21.6666666666667,50.0333333333333,86.6,0,5.2,770816.066666667,5e-15,4,0
0,3.7,17262.8,517854807.266667,36318921.7333333,608.266666666667,50.1666666666667,2422.06666666667,3,97.3,18430577.5333333,5e-15,4,0.1
0,3.9,17730.1333333333,1008551424.43333,70718257.8333333,1135.16666666667,50.1333333333333,4545.56666666667,2,171.666666666667,37473915.0333333,5e-15,4,0.0666666666666667
0,4.1,16803.0833333333,1450410119.56667,101671267.233333,1699.23333333333,50.1,6771.96666666667,4,213.5,53973160.8333333,5e-15,4,0.133333333333333
0,4.3,16777.45,1856620222.63333,130022592.766667,2183.1,50.0333333333333,8693.4,6,253.066666666667,70092542.9,5e-15,4,0.2
0,4.5,15349.4166666667,2218519796.43333,155369729.633333,2587.16666666667,50.0333333333333,10308.4333333333,9,250.766666666667,75987324.4,5e-15,4,0.3
0,4.7,17942.4833333333,2553188686.13333,178721069.733333,2965.86666666667,50,11815.6,2,317.366666666667,102651208.966667,5e-15,4,0.0666666666666667
0,4.9,17245.3,2850296406.26667,199703522.166667,3366.1,50.0666666666667,13483.9,4,319.733333333333,112524397.1,5e-15,4,0.133333333333333
0,5.1,16632.45,3133978018.6,219478894.833333,3673.3,50.0333333333333,14683.6,4,321.033333333333,118312302.933333,5e-15,4,0.133333333333333
0.025,0.5,368.883333333333,0,0,0,1,0,0,0,0,5e-15,4,0
0.025,0.7,1360.91666666667,0,0,0,1,0,0,0,28.5333333333333,5e-15,4,0
0.025,1.5,1809.45,0,0,0,33,0,0,0.0333333333333333,9273.83333333333,5e-15,4,0
0.025,1.7,1457.1,0,0,0,40.6333333333333,0,0,0.1,5295.96666666667,5e-15,4,0
0.025,1.9,1307.03333333333,0,0,0,45.6333333333333,0,0,0,3612,5e-15,4,0
0.025,1.3,5455.23333333333,13.2,0.366666666666667,0,20.7666666666667,0,0,0.0666666666666667,16915.2666666667,5e-15,4,0
0.025,0.9,15855.5666666667,298,5.16666666666667,0.966666666666667,1.7,3.36666666666667,0,0.366666666666667,38817.3,5e-15,4,0
0.025,1.1,16293.5,108.166666666667,3,0,8.46666666666667,0,0,0.266666666666667,43089.1,5e-15,4,0
0.025,2.1,1282.76666666667,0,0,0,48.6333333333333,0,0,0,3060.3,5e-15,4,0
0.025,2.3,1489.28333333333,0,0,0,49.4333333333333,0,0,0,1913.6,5e-15,4,0
0.025,2.5,1691.96666666667,0,0,0,49.9333333333333,0,0,0,2106.93333333333,5e-15,4,0
0.025,2.7,4679.7,0,0,0,50,0,0,0.0333333333333333,1850.73333333333,5e-15,4,0
0.025,2.9,12274.2166666667,29.4,1.9,0,50.2,0,0,0.0333333333333333,2420.53333333333,5e-15,4,0
0.025,3.1,17888.35,117.4,7.7,0,50,0,0,0.1,3534.2,5e-15,4,0
0.025,3.3,18250.5,334.633333333333,21.7666666666667,0,50.0333333333333,0,0,0.0333333333333333,9253.53333333333,5e-15,4,0
0.025,3.5,18250.5,68405612.0666667,4754778.46666667,0,50.0333333333333,0,0,1.1,164644.966666667,5e-15,4,0
0.025,3.7,17951.25,603613955.033333,41965851.7,673.666666666667,50.0333333333333,2687.43333333333,1,113.966666666667,21759228.2333333,5e-15,4,0.0333333333333333
