"epsilon1","epsilon2","tfinal","G","R","P","Tc","V","mut","trans","Vtot","nu","cancer"
0,0.9,1474.11666666667,0,0,0.0666666666666667,37.5,0.333333333333333,0,11.6666666666667,9024338.3,5e-15,0
0,1.1,1202.51666666667,0,0,0.1,47.4333333333333,0.333333333333333,0,10.5666666666667,12877754,5e-15,0
0,0.7,4082.51666666667,0.666666666666667,0.0666666666666667,0.166666666666667,19,0.533333333333333,0,16.3,5833308.26666667,5e-15,0
0,1.3,1350.06666666667,0,0,0.1,49.6666666666667,0.466666666666667,0,10.8,14445206.7,5e-15,0
0,1.5,2466.11666666667,0,0,0.1,50.1,0.533333333333333,0,14,27990831.4,5e-15,0
0,0.5,13434.3333333333,270.8,2.83333333333333,22.5333333333333,1.36666666666667,91.1666666666667,0,5.5,872946.466666667,5e-15,0
0,2.1,14636.9166666667,951655990.733333,30137378.3666667,86107377.5666667,50,344434014.133333,0.433333333333333,482.266666666667,2323791954223.07,5e-15,0.433333333333333
0,1.7,17564.1166666667,125.466666666667,3.86666666666667,11.0333333333333,50.0333333333333,46.3333333333333,0,26.6333333333333,55648427.7,5e-15,0
0,2.3,10850.15,1719340799.23333,54567448.3,155634874.066667,50.1333333333333,622542791.233333,0.7,356.433333333333,3162479325153.07,5e-15,0.7
0,1.9,18250.5,2077461.66666667,65807.1,187795,50.0333333333333,751015.733333333,0,579.6,6063277079.33333,5e-15,0
0,2.5,7472.01666666667,2382708670.26667,75620780.2666667,215761857.866667,50.0666666666667,862998544.133333,0.933333333333333,244.533333333333,2993506405346.07,5e-15,0.933333333333333
0,2.7,7807.05,2926151856.93333,93117958.0333333,265056805.2,50.1666666666667,1060013296.5,0.9,256.033333333333,3911971220220.4,5e-15,0.9
0,2.9,4351.05,3352691261.8,107170703.733333,303818191.366667,50.0666666666667,1214087140.86667,0.966666666666667,141.2,2470572065140.63,5e-15,0.966666666666667
0,3.1,6937.36666666667,3857659370.13333,122421663.866667,349589712.966667,50,1398245164.23333,0.9,227.433333333333,4618634512158.9,5e-15,0.9
0,3.3,6181.11666666667,4218442834.63333,134134456.7,382348258.966667,50.1666666666667,1529379327.33333,0.9,202.733333333333,4496696627230.5,5e-15,0.9
0,3.5,3416.48333333333,4525669836.1,144467066.233333,410304893.466667,50.2,1640423192.46667,1,110.666666666667,2587265435750.8,5e-15,1
0,3.7,3515.38333333333,4759205928.3,152530127.433333,431600631.1,50.2,1724679776.3,1,114.1,2859092177262.2,5e-15,1
0,3.9,3353.86666666667,5089359900.36667,162436018.7,461506429.466667,50.4,1846028382.73333,1,108.766666666667,2876341487884.1,5e-15,1
0,4.1,4130.61666666667,5328347820.43333,170082534,483230061.966667,50.4,1932936946.5,0.966666666666667,134.766666666667,3783085317040.37,5e-15,0.966666666666667
0,4.3,4561.03333333333,5464072176.53333,176154561.633333,495781775,50.2333333333333,1979729572.5,0.966666666666667,149.233333333333,4380193749532.53,5e-15,0.966666666666667
0,4.5,3703.78333333333,5754807639.16667,183216798.033333,522014708.8,50.2,2088078931.63333,1,120.733333333333,3653946112663.97,5e-15,1
0,4.7,5565.45,5927348829.66667,189081768,537722241.366667,50.3333333333333,2150910338.43333,0.966666666666667,182.9,5780997062324.1,5e-15,0.966666666666667
0,4.9,5469.26666666667,6093228660.7,194398058.6,552822625.4,50.3333333333333,2211297004.7,0.966666666666667,179.8,5854666000098.93,5e-15,0.966666666666667
0,5.1,2906.43333333333,6240305718.43333,199417048.4,566206004.833333,50.4333333333333,2264747684.7,1,94.3666666666667,3095212758473.93,5e-15,1
0.025,0.9,1404,0,0,0.4,39.5666666666667,1.46666666666667,0,12.5333333333333,9462593.5,5e-15,0
0.025,1.1,1237.8,0,0,0.1,47.1666666666667,1.03333333333333,0,10.6333333333333,12739730,5e-15,0
0.025,0.7,3466.51666666667,5.36666666666667,0.0666666666666667,0.733333333333333,19.3666666666667,2.56666666666667,0,16.8,5779276.03333333,5e-15,0
0.025,1.3,1327.7,0,0,0.133333333333333,49.8333333333333,0.5,0,11.2666666666667,16835970.8333333,5e-15,0
0.025,1.5,2750.26666666667,0,0,0.3,50,1.53333333333333,0,13.9333333333333,26318771.6,5e-15,0
0.025,0.5,13460.1666666667,290.9,2.6,24.8333333333333,1.7,100.1,0,7.96666666666667,1017509.26666667,5e-15,0
0.025,2.1,12408.55,995396900.8,31359300.8666667,89429596.5333333,50.1,357687952.766667,0.633333333333333,407.633333333333,2029816124855.73,5e-15,0.633333333333333
0.025,1.7,17323.65,152.966666666667,4.43333333333333,12.6666666666667,50.0666666666667,48.1666666666667,0,27.8333333333333,58330467.4333333,5e-15,0
0.025,2.3,10313.9833333333,1782078250.9,56131168.1666667,160169053.533333,50.1,640675112.4,0.733333333333333,339.066666666667,3070575345313.13,5e-15,0.733333333333333
0.025,1.9,18239.1166666667,72117485.2333333,2266441.1,6476203.1,50.0333333333333,25904212.4,0.0333333333333333,591.4,135972302200.733,5e-15,0.0333333333333333
0.025,2.5,8325.65,2440494933.53333,76869797.4666667,219421179.366667,50.0666666666667,877683774.333333,0.933333333333333,273.1,3420147566667.7,5e-15,0.933333333333333
0.025,2.7,7196.23333333333,3001864063.96667,94530966.3333333,269971889.333333,50.0333333333333,1079881356.36667,0.866666666666667,235.6,3648636810795.3,5e-15,0.866666666666667
0.025,2.9,5765.48333333333,3479775549.2,109660119.1,313028878.833333,50.0666666666667,1252121241.16667,0.9,188.066666666667,3363678676418.43,5e-15,0.9
0.025,3.1,5577.21666666667,3878594274.2,122660067.166667,348985475.9,50.3,1395941353.03333,0.933333333333333,182.133333333333,3667302953457.97,5e-15,0.933333333333333
0.025,3.3,5204.88333333333,4196676757.3,133309468.5,377773659.266667,50.1,1509624036.53333,1,169.966666666667,3758979765369.4,5e-15,1
0.025,3.5,4497.9,4584006953.83333,144816447.4,412599151.033333,50.2,1650416204.93333,1,146.4,3485739578546,5e-15,1
0.025,3.7,4188.28333333333,4863755818.03333,154035259.166667,437850662.033333,50.3666666666667,1751414404.06667,0.966666666666667,136.366666666667,3448025684594.47,5e-15,0.966666666666667
0.025,3.9,4919.26666666667,5139834789.43333,162372342.766667,462763507.366667,50.1666666666667,1851006820.13333,1,160.733333333333,4330937089610.2,5e-15,1
0.025,4.1,3880.71666666667,5371232187.43333,169884262.233333,483678874.233333,50.2,1934489458.73333,1,126.433333333333,3545061145801.97,5e-15,1
0.025,4.3,4058.45,5572389286.26667,176702250.666667,501911140.266667,50.1333333333333,2006348794.7,1,132.4,3880312806856.43,5e-15,1
0.025,4.5,3859.45,5782948536.06667,182890188.633333,520839693.833333,50.2333333333333,2083346288.4,1,125.9,3807874405272.07,5e-15,1
0.025,4.7,4712.16666666667,5964297685.7,188546636.1,537242610.933333,50.1666666666667,2148828737.36667,0.966666666666667,154.233333333333,4865578292338.53,5e-15,0.966666666666667
0.025,4.9,3718.05,6117245530.36667,193964787.333333,551055367.166667,50.4,2204219050.73333,0.966666666666667,121.4,3907455761487.03,5e-15,0.966666666666667
0.025,5.1,3518.86666666667,6276222122.33333,198662877.7,565455050.233333,50.1666666666667,2261225277.96667,1,114.7,3787749651900.77,5e-15,1
0.05,0.9,1408.76666666667,0,0,0.0666666666666667,40.9,0.233333333333333,0,12.6333333333333,9568507.9,5e-15,0
0.05,1.1,1236.41666666667,0,0,0.0666666666666667,47.3,0.166666666666667,0,10.6666666666667,11176858.6333333,5e-15,0
0.05,0.7,2973.2,0,0,0.1,20.1,0.266666666666667,0,13.7,5511473.93333333,5e-15,0
0.05,1.3,1498.9,0,0,0.1,49.7333333333333,0.1,0,10.7,15981934.3666667,5e-15,0
0.05,1.5,3173.2,0,0,0.1,49.9666666666667,0.8,0,14.3666666666667,24856443.6666667,5e-15,0
0.05,0.5,11646.0666666667,246.433333333333,2.23333333333333,18.4666666666667,2.1,77.7333333333333,0,6.33333333333333,1031970.73333333,5e-15,0
0.05,2.1,13720.45,1057857071.13333,33078859.6333333,94357868.8,50.0666666666667,377388993.4,0.433333333333333,451.766666666667,2425521672328.2,5e-15,0.433333333333333
0.05,1.7,18250.5,167.266666666667,4.93333333333333,14.3333333333333,50.0333333333333,57.9,0,29.0666666666667,61060284.7666667,5e-15,0
0.05,2.3,8940.18333333333,1819352441.36667,57011158,162363570.566667,50.1333333333333,649328332.866667,0.8,293.2,2692974181546.87,5e-15,0.8
0.05,1.9,18094.5833333333,136520234.266667,4260594.03333333,12171692.3333333,50.0666666666667,48688123.9333333,0.0333333333333333,595.966666666667,319942986011.567,5e-15,0.0333333333333333
0.05,2.5,9638.93333333333,2459588067.96667,77171565.3,219577401.666667,50.1333333333333,878038338.033333,0.833333333333333,316.7,4054173302501.7,5e-15,0.833333333333333
0.05,2.7,6690.48333333333,3025579881.9,94906777.1,270185765.066667,50.1333333333333,1080448463,0.9,218.833333333333,3399897166942.87,5e-15,0.9
0.05,2.9,5507.63333333333,3510734691.1,110094848.066667,313560825.333333,50.2333333333333,1254246349.66667,1,179.9,3213168755528,5e-15,1
0.05,3.1,3828.48333333333,3933947036.36667,123286609.233333,351428201.833333,50.1666666666667,1405714168.3,0.966666666666667,123.9,2458172486279.1,5e-15,0.966666666666667
0.05,3.3,5286.81666666667,4208183114.43333,133344038.366667,376164536.466667,50.2666666666667,1502642932.86667,1,172.833333333333,3835186898826.93,5e-15,1
0.05,3.5,5216.16666666667,4630543084.4,145028798.166667,413800783,50.1,1655190646.5,0.966666666666667,170.333333333333,4088584299113.23,5e-15,0.966666666666667
0.05,3.7,5446.6,4917328184.6,154117998.7,439499705.933333,50.1333333333333,1757990470.2,0.933333333333333,178.3,4558746814898.33,5e-15,0.933333333333333
0.05,3.9,3752.38333333333,5071209536.16667,160439333.966667,453468870.666667,50.2,1811904633.5,1,122.033333333333,3248687918041.97,5e-15,1
0.05,4.1,4094.28333333333,5383760590.96667,169601333.4,481441120.466667,50.0666666666667,1924130867.43333,1,133.633333333333,3753986967158.77,5e-15,1
0.05,4.3,3162.66666666667,5618567158.56667,176424552.533333,502404667.766667,50.1666666666667,2009323648.13333,0.966666666666667,102.733333333333,2971313853426.2,5e-15,0.966666666666667
0.05,4.5,3820.65,5813015385.93333,182543131.3,519812309.266667,50.2333333333333,2079242391.36667,1,124.5,3767615218455.47,5e-15,1
0.05,4.7,2922.8,5994761979.63333,188081634.333333,536102603.466667,50.1666666666667,2144397285.23333,1,94.8333333333333,2933138290051.1,5e-15,1
0.05,4.9,3520.98333333333,6146822104.26667,193416255.2,549750534.266667,50.3666666666667,2199001724.16667,1,114.7,3675331110820.87,5e-15,1
0.05,5.1,4203.5,6292266529.96667,198290103.933333,562826434.366667,50.4666666666667,2251300270,0.966666666666667,137.766666666667,4538355725919.73,5e-15,0.966666666666667
0.075,0.9,1303.65,0,0,0.1,42.2333333333333,0.3,0,11.7666666666667,10082472.3666667,5e-15,0
0.075,1.1,1255.06666666667,0,0,0.0666666666666667,47.5666666666667,0.3,0,10.3333333333333,11730857.9333333,5e-15,0
0.075,0.7,2470.43333333333,0,0,0.2,24.2333333333333,0.733333333333333,0,14.3666666666667,6808955.8,5e-15,0
