"epsilon1","epsilon2","tfinal","G","R","P","Tc","V","mut","trans","Vtot","nu","numGclasses","cancer"
0,0.5,277.1,0,0,0.52,1,1.76,0,0,302.48,5e-15,1,0
0,1.5,1944.54,0,0,0.04,30.84,0.24,0,10.52,3735939.24,5e-15,1,0
0,1.3,3733.88,0,0,0.16,19.84,0.64,0,13.08,3874173.28,5e-15,1,0
0,1.7,1446.96,0,0,0.12,39.6,0.52,0,7.48,3537398.72,5e-15,1,0
0,0.7,3459.8,3,0.16,4.52,1.08,17.96,0,1.12,148604.84,5e-15,1,0
0,0.9,12486.22,71,1.32,16.28,2.8,63,0,11.88,1827173.16,5e-15,1,0
0,1.1,16211.32,66.96,1.88,5.24,8.4,20.6,0,14.2,2801548.04,5e-15,1,0
0,1.9,1309.84,0,0,0.08,44.92,0.56,0,7.08,3154403.48,5e-15,1,0
0,2.1,1276.94,0,0,0.08,47.64,0.32,0,6.4,3073842.52,5e-15,1,0
0,2.3,1321.56,0,0,0.12,49.28,0.4,0,6.32,3023699.8,5e-15,1,0
0,2.5,1535.68,0,0,0,49.8,0,0,5.92,3271875.52,5e-15,1,0
0,2.7,2513.8,0,0,0.04,49.96,0.08,0,7.32,3839410.96,5e-15,1,0
0,2.9,7755.24,1.72,0.12,0.08,50,0.68,0,8.4,4474100.16,5e-15,1,0
0,3.1,17039.22,71.8,4.44,0.8,50.04,3.08,0,12.2,5845340.08,5e-15,1,0
0,3.3,18250.5,188.36,11.32,2.04,50.12,7.68,0,18.64,9775634.52,5e-15,1,0
0,3.5,18250.5,2359.8,168.32,25.44,50,99.8,0,160.56,83737727.76,5e-15,1,0
0,3.7,16318.54,461078436,32535891.92,5047178.04,50.08,20190266.64,6,534.24,142359447797.28,5e-15,1,0.2
0,3.9,18073.88,960455543.32,67720148.2,10526310.88,50,42106471.24,1.2,594.36,354812126251.12,5e-15,1,0.04
0,4.1,16225.1,1391186732,98201125.24,15222774.2,50.08,60890921.96,8.4,533.16,465898059646.08,5e-15,1,0.28
0,4.3,16946.04,1786982556.92,126203682.84,19539234.84,50.12,78158841.08,4.8,557.76,633416512703.76,5e-15,1,0.16
0,4.7,13849.42,2441156970.56,172881998.76,26604988.92,50.16,106381538.44,14.4,455.32,724472902999.64,5e-15,1,0.48
0,4.5,16096.82,2160716783.6,152437789.4,23660756.92,50.04,94644912.88,8.4,529.68,731148624035.32,5e-15,1,0.28
0,4.9,14561.34,2771767519.12,196308224.52,30192093.2,50.32,120769572.92,14.4,479.44,849040308020.64,5e-15,1,0.48
0,5.1,14255.5,3078705627.48,217333336.64,33688217.88,50.08,134754989.8,10.8,469.04,927556454405.56,5e-15,1,0.36
0.025,0.5,396.54,0,0,0.84,1,3.32,0,0,1174.36,5e-15,1,0
0.025,1.5,1969.48,0,0,0.04,30.08,0.16,0,9.08,3174952.64,5e-15,1,0
0.025,1.3,4289.54,0,0,0.24,20.56,1.36,0,13.4,3811482.44,5e-15,1,0
0.025,1.7,1438.18,0,0,0.08,38.2,0.12,0,8.4,3101265.2,5e-15,1,0
0.025,0.7,6172.62,14.04,0.28,9.92,1.08,38.4,0,2.12,330101.8,5e-15,1,0
0.025,0.9,16040.96,90.84,1.48,16.56,3.6,66.8,0,13.16,2198737.24,5e-15,1,0
0.025,1.1,11953.32,32.24,1.08,2.04,10.04,7.48,0,16.72,3487914.24,5e-15,1,0
0.025,1.9,1325,0,0,0.04,45.44,0.16,0,6.76,3185638.88,5e-15,1,0
0.025,2.1,1285.5,0,0,0,47.84,0,0,6.12,3096345.44,5e-15,1,0
0.025,2.3,1331.04,0,0,0.04,49.36,0.12,0,6.64,3432402.76,5e-15,1,0
0.025,2.5,1662.82,0,0,0,49.72,0,0,6.04,3256447,5e-15,1,0
0.025,2.7,2833.56,0,0,0.04,50.04,0.16,0,7.08,3517795.36,5e-15,1,0
0.025,2.9,9924.9,7,0.32,0.16,50,0.48,0,9.12,4625997.6,5e-15,1,0
0.025,3.1,18152.5,81.48,5.64,0.8,50.04,3.04,0,11.56,6633179.68,5e-15,1,0
0.025,3.3,18250.5,213.92,15.4,2.2,50,9.4,0,22.4,12252239.88,5e-15,1,0
0.025,3.5,18250.5,1622472.12,113545.52,17782.32,50,71091.72,0,524.04,646401034.24,5e-15,1,0
0.025,3.7,17169.68,534247211.96,37414794.6,5851259.44,50.04,23404496.84,3.6,563.12,178196884451.48,5e-15,1,0.12
0.025,3.9,18014.46,1004006477.56,70418939.24,10975067.04,50.16,43900289.72,3.6,592.32,369526327018.04,5e-15,1,0.12
0.025,4.1,15964.84,1452358628.72,101786830.36,15891660.2,50.08,63566788.36,7.2,524.64,479520910180.04,5e-15,1,0.24
0.025,4.3,16997.82,1845101446.96,129383665.44,20174602.88,50.12,80699313.72,4.8,559.56,656703944304.2,5e-15,1,0.16
0.025,4.7,17082.26,2543035019.12,178245841.2,27825777.4,50.08,111301999.56,6,563.24,919201220011.16,5e-15,1,0.2
0.025,4.5,12612.8,2216248696.08,155253031.6,24270167.4,50.04,97081936,13.2,413.88,580899924180.64,5e-15,1,0.44
0.025,4.9,10857.26,2855475836.64,199927409.4,31293095.4,50,125172174.72,21.6,355.88,647574592728.44,5e-15,1,0.72
0.025,5.1,14787.3,3119819654.24,218918179.28,34088394,50.16,136355535.92,13.2,487.16,974389020023.52,5e-15,1,0.44
0.05,0.5,380.2,0,0,0.52,1,2.24,0,0,277.28,5e-15,1,0
0.05,1.5,1792.84,0,0,0,32.48,0,0,8.8,3202913.04,5e-15,1,0
0.05,1.3,4153.02,0.68,0,0.28,21.4,0.84,0,12.12,3487502.6,5e-15,1,0
0.05,1.7,1407.24,0,0,0.04,40.8,0.16,0,6.92,3052560.48,5e-15,1,0
0.05,0.7,5881.58,13.2,0.28,10.28,1.36,40.72,0,1.64,360078.56,5e-15,1,0
0.05,0.9,15290.72,65.48,0.96,9.52,3.92,39.56,0,13.96,2277076.68,5e-15,1,0
0.05,1.1,11329.78,26.04,0.84,1.8,10.84,7.92,0,16.4,3693741.32,5e-15,1,0
0.05,1.9,1252.76,0,0,0.08,45.52,0.28,0,7,3096194.84,5e-15,1,0
0.05,2.1,1290.6,0,0,0.08,48,0.32,0,6.64,2939418.92,5e-15,1,0
0.05,2.3,1320.74,0,0,0.04,49.6,0,0,6.32,3203467.08,5e-15,1,0
0.05,2.5,1633.52,0,0,0.16,49.96,0.6,0,6.52,3388794.64,5e-15,1,0
0.05,2.7,3062.34,0,0,0.12,50.04,0.36,0,7.16,3815797.92,5e-15,1,0
0.05,2.9,13121.04,19.68,1.12,0.52,50.04,2.08,0,8.56,4027595.24,5e-15,1,0
0.05,3.1,18250.5,107.68,6.56,1.32,50,5,0,12.72,6240260.48,5e-15,1,0
0.05,3.3,18250.5,233.72,16.28,2.4,50.08,9.24,0,26.56,13944246.16,5e-15,1,0
0.05,3.5,18250.5,63979830.92,4446460.32,701063.44,50.08,2804192.04,0,555,13310883753.84,5e-15,1,0
0.05,3.7,17052.74,607223613.48,42206343,6653753.64,50,26615562.76,4.8,559.44,203250887625.16,5e-15,1,0.16
0.05,3.9,16450.06,1083458004.6,75347014.12,11865856.4,50.04,47462154.52,8.4,540.92,364296286806.68,5e-15,1,0.28
0.05,4.1,17594.58,1498673617.96,104457748.8,16363693.76,50.2,65455262.24,2.4,579,546928232223.6,5e-15,1,0.08
0.05,4.3,14542,1897018633.96,132158103.32,20723232.92,50.08,82879409.12,12,477.8,577924072329.72,5e-15,1,0.4
0.05,4.7,14634.86,2591968046.68,180482857.96,28340847.96,50.12,113359298.28,9.6,481.24,796616839364.68,5e-15,1,0.32
