"epsilon1","epsilon2","tfinal","G","R","P","Tc","V","mut","trans","Vtot","nu","numGclasses","cancer"
0,0.5,236.2,0,0,0.0333333333333333,1,0.0666666666666667,0,0,5.26666666666667,5e-15,2,0
0,0.7,907.9,0,0,0.3,1,1.5,0,0,1017.33333333333,5e-15,2,0
0,1.3,4501.53333333333,8.33333333333333,0.2,0.1,18.5,0.6,0,3.3,491609.2,5e-15,2,0
0,1.7,1482.25,0,0,0,40.6,0,0,1.66666666666667,300848.666666667,5e-15,2,0
0,1.5,2124.06666666667,0,0,0,31.8,0,0,1.83333333333333,372407.033333333,5e-15,2,0
0,1.9,1287.4,0,0,0.0333333333333333,45.3333333333333,0.0333333333333333,0,1.36666666666667,223983.633333333,5e-15,2,0
0,0.9,16326.3333333333,210.066666666667,4.63333333333333,12.1333333333333,1.46666666666667,50.5333333333333,0,3,508783.866666667,5e-15,2,0
0,1.1,15442.1833333333,103.4,2.63333333333333,1.06666666666667,7.16666666666667,4.2,0,4.66666666666667,744444.2,5e-15,2,0
0,2.1,1319.83333333333,0,0,0,47.6333333333333,0,0,0.866666666666667,191782.266666667,5e-15,2,0
0,2.3,1524.7,0,0,0,48.6333333333333,0,0,0.9,175104.333333333,5e-15,2,0
0,2.5,1633.51666666667,0,0,0,49.9,0,0,1.2,180930.8,5e-15,2,0
0,2.7,3299.1,0,0,0,50,0,0,0.866666666666667,166834.833333333,5e-15,2,0
0,2.9,10429.7,9.86666666666667,0.733333333333333,0,50,0,0,1.16666666666667,191078.733333333,5e-15,2,0
0,3.1,18250.5,117.166666666667,7.46666666666667,0.1,50,0.566666666666667,0,1.1,248882.766666667,5e-15,2,0
0,3.3,18250.5,261.5,16.8,0.0666666666666667,50,0.4,0,2.33333333333333,427978.2,5e-15,2,0
0,3.5,18250.5,1816331.3,127143.6,611.433333333333,50.0333333333333,2446.3,0,116.266666666667,21702513.7333333,5e-15,2,0
0,3.7,10478.9666666667,527602193.833333,36972135.5333333,175070.7,50.0666666666667,700195.966666667,21,317.5,2957102731.23333,5e-15,2,0.7
0,3.9,8420.31666666667,1023505651.33333,71666042.0333333,340553.566666667,50,1362093.86666667,28,261.533333333333,4939046247.36667,5e-15,2,0.933333333333333
0,4.1,5776.2,1460877566.76667,102293440.333333,486124.066666667,50,1944221.26666667,29,178.033333333333,4752712649.73333,5e-15,2,0.966666666666667
0,4.3,3978.68333333333,1792516350.3,126143715.833333,589141.9,50.0666666666667,2355459.36666667,30,120.6,3976111725.66667,5e-15,2,1
0,4.5,3741.26666666667,2132669415.43333,150555076.366667,693721.766666667,50.0666666666667,2771241.56666667,30,113.2,4555571441,5e-15,2,1
0,4.7,4548.81666666667,2369160480.2,167829453.266667,766454.366666667,50.1,3061478.1,30,140.933333333333,6666487259.26667,5e-15,2,1
0,4.9,2861.18333333333,2839257244.96667,199228044.433333,938811.733333333,50.1333333333333,3754779.5,30,85.4,4404071206.8,5e-15,2,1
0,5.1,3011.71666666667,2952285933.76667,209274753.6,947459.133333333,50.1666666666667,3782301.2,30,91.3,5223677357.46667,5e-15,2,1
0.025,0.5,277.083333333333,0,0,0.1,1,0.466666666666667,0,0,50.8666666666667,5e-15,2,0
0.025,0.7,1531.28333333333,0,0,0.433333333333333,1,1.33333333333333,0,0,4708.23333333333,5e-15,2,0
