"epsilon1","epsilon2","tfinal","G","R","P","Tc","V","mut","trans","Vtot","nu","numGclasses","cancer"
0,0.5,247.94,0,0,0.48,1,1.92,0,0,178.6,5e-15,1,0
0,0.7,652.06,0,0,1.64,1,6.28,0,0.04,7647.52,5e-15,1,0
0,1.5,2199.46,0,0,0.04,31.24,0.16,0,9.96,3702094.88,5e-15,1,0
0,1.3,4956.14,9.84,0.32,0.48,19.88,1.76,0,12.28,4019869.2,5e-15,1,0
0,1.7,1545.28,0,0,0.04,38.4,0.36,0,7.48,3065853.12,5e-15,1,0
0,1.9,1348.74,0,0,0.12,44.12,0.52,0,7.28,3110758.12,5e-15,1,0
0,0.9,14197.9,78.24,1.56,14.68,2.92,58.6,0,11.04,1845703.72,5e-15,1,0
0,1.1,14062.48,47,1.28,4.16,8.16,16.64,0,12.56,2638950.16,5e-15,1,0
0,2.1,1316.3,0,0,0.08,47.24,0.32,0,7.32,3213528.84,5e-15,1,0
0,2.3,1370.9,0,0,0.08,49,0.36,0,6.48,3403144.04,5e-15,1,0
0,2.5,1719.18,0,0,0,49.8,0.04,0,6.36,3436850.96,5e-15,1,0
0,2.7,2572.9,0,0,0.08,49.96,0.2,0,8,3566409.52,5e-15,1,0
0,2.9,8756.14,3.48,0.32,0.2,50.04,0.72,0,8.64,4434484.92,5e-15,1,0
0,3.1,17604.08,76.52,5.48,0.84,50,3.08,0,10.84,5724872.84,5e-15,1,0
0,3.3,18250.5,178.56,10.84,1.84,50,7.44,0,19.12,10254987.04,5e-15,1,0
0,3.5,18250.5,2318.84,164.32,25.72,50,106.68,0,152.32,74406450.8,5e-15,1,0
0,3.7,11304.58,453661474.12,32013171.04,4965491.56,50.04,19860758.88,22.8,368.28,95165021181.76,5e-15,1,0.76
0,3.9,7416.78,925372327.96,65453302,10096489.76,50.16,40380908.76,26.4,239.04,126157177406.92,5e-15,1,0.88
0,4.1,5675.02,1353896115.12,95848298.36,14754330.88,50.16,59002234.88,27.6,181.92,142189593267.68,5e-15,1,0.92
0,4.3,4556.92,1772479149.68,125336298.28,19342697.92,50.08,77346617.24,30,145.24,149290224515.16,5e-15,1,1
0,4.5,4294.22,2144294336.08,151542463.8,23410970.32,50.04,93615163.84,30,136.76,173163032495.2,5e-15,1,1
0,4.7,3230.66,2420177865.2,171861838.4,26265302.88,50.08,104971180,30,101.68,145164280298.28,5e-15,1,1
0,4.9,3233.94,2777153468.92,196488880.92,30260942.64,50.08,120988477.96,30,101.6,166026654453.68,5e-15,1,1
0,5.1,3665.68,3032178014.04,215013711.72,32974325.36,50.12,131824134.32,28.8,116.6,215622887299.48,5e-15,1,0.96
0.025,0.5,322.08,0,0,1.32,1,5.76,0,0,680.44,5e-15,1,0
0.025,0.7,5182.06,18.2,0.2,12.32,1.08,48.36,0,2.2,313993.88,5e-15,1,0
0.025,1.5,1970.16,0,0,0.2,31.12,0.92,0,9.52,3403370.76,5e-15,1,0
0.025,1.3,4185.28,1.44,0.04,0.04,20.44,0.08,0,13.6,3661630.68,5e-15,1,0
0.025,1.7,1507.68,0,0,0.08,39.84,0.2,0,7.72,3355005.2,5e-15,1,0
0.025,1.9,1329.92,0,0,0.12,44.68,0.36,0,7.36,3065624.56,5e-15,1,0
0.025,0.9,15325.5,88.4,1.6,19.72,3.44,80.4,0,15.8,2333927.12,5e-15,1,0
0.025,1.1,12176.3,36.28,0.64,3.28,9.52,13.2,0,18.04,3891226.84,5e-15,1,0
0.025,2.1,1261.14,0,0,0.08,48.8,0.36,0,7.28,3733349.28,5e-15,1,0
0.025,2.3,1408.24,0,0,0.04,49.2,0.12,0,5.84,3092194.76,5e-15,1,0
0.025,2.5,1818.96,0,0,0.04,49.88,0.2,0,6.6,3782249.28,5e-15,1,0
0.025,2.7,2506.76,0,0,0.04,49.96,0.52,0,7.12,4136875.44,5e-15,1,0
0.025,2.9,8719.9,7.2,0.52,0.08,50.04,0.2,0,8.44,4921472.92,5e-15,1,0
0.025,3.1,18195,96.8,6.12,1.2,50,5.88,0,11.28,5652721.52,5e-15,1,0
0.025,3.3,18250.5,201.6,15.36,1.92,50.04,7.72,0,22.52,12189827.76,5e-15,1,0
