"epsilon1","epsilon2","tfinal","G","R","P","Tc","V","mut","trans","Vtot","nu","cancer"
0.6,0.5,1696.94,0,0,0.16,32.72,0.52,0,10.84,5106605.84,5e-15,0
0.6,0.9,1170.04,0,0,0.08,48.92,0.76,0,9.64,10122374.72,5e-15,0
0.6,0.7,1215.72,0,0,0,46.52,-0.04,0,9.64,9020248.72,5e-15,0
0.6,1.1,1462.88,0,0,0.12,49.92,0.48,0,11.08,16367852.12,5e-15,0
0.6,1.3,4240.66,0,0,0.04,50.12,-0.08,0,17.16,32450337.92,5e-15,0
0.6,1.5,18250.5,315.8,9.68,22.72,50.08,93.92,0,60,124072292,5e-15,0
0.6,1.9,16564.4,1698945793.56,53581455.56,127452903.96,50.08,509810481.32,0.16,546.6,4034748967754.44,5e-15,0.16
0.6,1.7,18099.64,726931606.4,22912485.64,54505364.64,50.08,218018386.36,0.04,596.84,1789800666005.64,5e-15,0.04
0.6,2.1,15510.16,2476119439.52,78236566.8,185866907.56,50.16,743468974.32,0.28,511.96,5533902747535.04,5e-15,0.28
0.6,2.3,14941.88,3128015582.64,98872935.68,234891214.8,50.16,939549916.2,0.44,493.32,6804842716875.92,5e-15,0.44
0.6,2.5,15268.22,3689019224.08,116403093.72,276997947.04,50.04,1108007834.52,0.44,504.68,8230488521012.2,5e-15,0.44
0.6,2.7,12345,4151094301.8,131103344.48,311800685.04,50.08,1247204932.68,0.56,407.32,7474867476352.48,5e-15,0.56
0.6,2.9,13503.86,4545850823,143793516.12,341600966.12,50.16,1366395937.72,0.44,446.32,9003593576789.88,5e-15,0.44
0.6,3.1,14617.86,4899894653.6,154932971.96,368252655.52,50.12,1472998622.32,0.44,483.56,10555325081799,5e-15,0.44
0.6,3.3,13373.44,5195423488.28,164732640.56,390686387.64,50.28,1562729627.16,0.52,442.32,10249871324935.6,5e-15,0.52
0.6,3.5,12516.04,5487981889.4,173331979.44,412465049.56,50.04,1649863525.36,0.44,413.6,10125646198675.1,5e-15,0.44
0.6,3.7,14192.18,5725457680.44,181102945.92,430463364.28,50.12,1721853998.4,0.48,469.88,12017604487971.2,5e-15,0.48
0.6,3.9,11895.56,5732337366.24,182979413.8,431542168.04,50.24,1724860229.68,0.56,393.64,10435026817070.2,5e-15,0.56
0.6,4.1,11539.46,6120418417.96,194689626.28,460681074.52,50.44,1842725701.36,0.56,381.76,10457042339130.5,5e-15,0.56
0.6,4.3,12899.28,6305569488.84,200326552.6,474550805.88,50.36,1898204174.56,0.48,427.04,12065529318369.2,5e-15,0.48
0.6,4.5,12139.7,6471867563.64,205480513.88,487047728.4,50.32,1948169380.44,0.72,401.84,11633698892319,5e-15,0.72
0.6,4.7,11654.3,6625968743.24,210159987.36,499066481.28,50.16,1996065307.08,0.72,385.88,11454358522416,5e-15,0.72
0.6,4.9,10034.08,6759437120.28,214657338,508762573.96,50.32,2035042226.96,0.72,331.96,10040795750351.4,5e-15,0.72
0.6,5.1,11706.14,6884163113.4,218771592.88,518241580.96,50.36,2072970364.28,0.64,387.52,11968601177971,5e-15,0.64
0.625,0.5,1611.86,0,0,0.04,34.8,-0.04,0,10.68,5373825.88,5e-15,0
0.625,0.9,1121.44,0,0,0,49.4,-0.12,0,9.64,11314566.68,5e-15,0
0.625,0.7,1250.78,0,0,0.08,44.64,0.24,0,9.2,6895990.2,5e-15,0
0.625,1.1,1427.46,0,0,0.08,50,0.24,0,11.68,17006343,5e-15,0
0.625,1.3,4950.64,0,0,-0.08,50,0.08,0,18.84,32651696.28,5e-15,0
0.625,1.5,18250.5,357.52,11.12,25.8,50,101.56,0,72.44,127418715.96,5e-15,0
0.625,1.9,17541.98,1770017388.84,55354419.72,131647893.92,50.08,526590323.32,0.08,579.36,4405094282171.48,5e-15,0.08
0.625,1.7,17357.48,812791877.84,25384998.72,60411906.52,50.04,241652677.48,0.12,572.28,1909983708883.84,5e-15,0.12
0.625,2.1,15080.16,2545766097.4,79692524.44,189437955.08,50.12,757753835.56,0.36,497.76,5489433343903.8,5e-15,0.36
0.625,2.3,14358.8,3186842967.64,99865033.16,237251412.16,50.16,948992373.48,0.44,474.04,6578338338872.28,5e-15,0.44
0.625,2.5,14561.1,3730209031.68,116929509.96,277784246.04,50.16,1111135007.08,0.44,481.12,7863488559742.72,5e-15,0.44
0.625,2.7,15477.72,4197279055.28,131516814.64,312605525.76,50.12,1250436993.88,0.32,511.8,9450703152934.32,5e-15,0.32
0.625,2.9,12964.56,4581348296.32,143977248.16,341442035.48,50.28,1365778279.96,0.56,428.44,8628025143359.08,5e-15,0.56
0.625,3.1,13541.02,4942184218,154972956.6,368347356.2,50.08,1473253060.36,0.48,447.76,9770302857133.8,5e-15,0.48
0.625,3.3,11679.38,5243137057.48,164594273.68,390802152.64,50.2,1563212859.48,0.64,385.48,8927381079946.8,5e-15,0.64
0.625,3.5,12205.72,5508088705.16,173170789,410709492.68,50.28,1642836875.2,0.56,403.6,9818652427639.28,5e-15,0.56
0.625,3.7,11104.8,5747394230.56,180846810.16,428663224,50.32,1714649816.12,0.64,367.04,9326306053713.8,5e-15,0.64
0.625,3.9,12505.02,5967841698.84,187679563.76,445094788.92,50.28,1780387856.96,0.52,413.64,10942085108771.4,5e-15,0.52
0.625,4.1,11442.12,6177443240.76,193632628.76,460489362.4,50.08,1841953153.28,0.56,378.4,10347157634205.4,5e-15,0.56
0.625,4.3,12452.42,6339724759.32,199551841.08,472988056.12,50.32,1891907418,0.48,412.2,11598435663085.3,5e-15,0.48
0.625,4.5,12328.2,6509336863.8,204487078.76,485498152.52,50.2,1941996239.52,0.52,408.2,11792533052594.8,5e-15,0.52
0.625,4.7,10977.82,6646041111.04,209513735.12,496023260.84,50.4,1984093094.2,0.64,363.2,10717735109376.8,5e-15,0.64
0.625,4.9,10688.96,6784940353.84,213761090.24,506384438.36,50.36,2025525885.12,0.72,353.76,10654851070017.4,5e-15,0.72
0.625,5.1,10219.06,6917235554.52,217501832.28,516096507.84,50.24,2064380755.08,0.68,338.08,10383252170248.6,5e-15,0.68
0.65,0.5,1602.52,0,0,0.04,34.68,0.12,0,10.96,5007234.48,5e-15,0
0.65,0.9,1197.72,0,0,0.04,49.6,0.12,0,10.04,11366428.2,5e-15,0
0.65,0.7,1187.52,0,0,0,45.6,0.08,0,9.64,7173394.32,5e-15,0
0.65,1.1,1623.02,0,0,-0.04,50,0.32,0,12,18373527.08,5e-15,0
0.65,1.3,4449.74,0,0,0.12,50,1,0,18.44,29978898.2,5e-15,0
0.65,1.5,18250.5,471.52,15.2,34.48,50,139.88,0,95.08,173265888.2,5e-15,0
0.65,1.9,17226.84,1846911020.92,57221739.72,136162541.4,50.04,544647487.88,0.12,568.56,4485435900758.12,5e-15,0.12
0.65,1.7,17438.42,860396130.04,26712217.04,63430827.76,50.24,253717199.08,0.12,575.08,2025552357060.12,5e-15,0.12
0.65,2.1,15903.62,2599780896.8,80792284.68,191834657.92,50.2,767334679.12,0.24,525.16,5879915506716.72,5e-15,0.24
0.65,2.3,14150.72,3178622843.24,99333549.32,234870905.32,50.24,938980758.24,0.32,467.32,6521812980813.12,5e-15,0.32
0.65,2.5,13954.56,3788732117.28,117661189.28,279673325.88,50.12,1118696027.4,0.48,460.88,7586143294867.72,5e-15,0.48
0.65,2.7,14268.64,4251503852.84,131964407.48,313868426.4,50.08,1255464772.16,0.44,471.68,8738411077167.76,5e-15,0.44
0.65,2.9,13877.6,4639330253.72,144235424.8,342648595.2,50.16,1370607354.2,0.48,458.84,9290658010466.8,5e-15,0.48
0.65,3.1,11520.48,4984198810.4,154990411.84,368185833,50.16,1472741393.96,0.56,380.4,8284982906363.68,5e-15,0.56
0.65,3.3,13311.54,5277635196.24,164472508.84,390076633.16,50.28,1560296049.04,0.48,440.2,10190232592833.8,5e-15,0.48
0.65,3.5,11982.6,5487959282.2,172497721.76,406427183.84,50.16,1623727930.4,0.52,396.12,9631716608955.44,5e-15,0.52
0.65,3.7,11526.06,5784127651.84,180434934.32,427672810.4,50.32,1710694335.6,0.6,380.72,9661912899839.72,5e-15,0.6
0.65,3.9,12892.18,6005457286.2,187105742.64,443973947.36,50.24,1775911028.04,0.48,426.48,11261273408662.2,5e-15,0.48
0.65,4.1,14635.04,6197284954.8,193239377.24,458269237.08,50.28,1833058041.84,0.48,484.92,13225157025665.6,5e-15,0.48
0.65,4.3,13947.3,6381403316.72,198580073.8,471744577.32,50.16,1887000855.36,0.44,461.88,12975673944612.8,5e-15,0.44
0.65,4.5,13241.9,6534693228.44,203796208.12,483307830.96,50.28,1933215502.88,0.6,438.4,12625295404982.9,5e-15,0.6
0.65,4.7,12293.6,6686538588.84,208255081.8,494439988.2,50.2,1977762362.36,0.56,406.92,11981573088040,5e-15,0.56
0.65,4.9,8700.08,6814905241.24,212707626.48,504154699.56,50.32,2016619075.4,0.72,287.4,8600980014611.4,5e-15,0.72
0.65,5.1,10905.98,6939586128,216609432.72,513405086.12,50.32,2053621618.48,0.76,360.96,11036912906393.1,5e-15,0.76
0.675,0.5,1509.12,0,0,-0.04,37.12,0.12,0,10.56,5523200,5e-15,0
0.675,0.9,1202.28,0,0,0.08,49.36,0.16,0,10.56,11752953.24,5e-15,0
0.675,0.7,1163.92,0,0,0.08,46.2,0.28,0,9.52,8010555.4,5e-15,0
0.675,1.1,1717.9,0,0,0,50,0.12,0,12.48,18300899.24,5e-15,0
0.675,1.3,6417.58,0,0,0.04,50.04,0.76,0,19.32,35120106.52,5e-15,0
0.675,1.5,18250.5,604.76,19.44,43.8,50.08,178.32,0,129.12,266086145.4,5e-15,0
0.675,1.9,17104.06,1918121413.52,58904445.08,140176964.32,50.04,560708324.56,0.16,564.28,4577079445795.4,5e-15,0.16
0.675,1.7,16403.16,970925976.72,29803167.96,70919243.44,50.04,283682496.76,0.2,540.68,2137114130837.92,5e-15,0.2
0.675,2.1,15457.6,2661656635,82012782.52,194717561.92,50.16,778788681.24,0.2,510.28,5817170720924,5e-15,0.2
0.675,2.3,15148,3309402164.56,101841237.12,242082336.16,50.12,968330408.52,0.36,500.12,7103534661525.8,5e-15,0.36
0.675,2.5,12122.16,3829879645.88,118142166.64,280343833.68,50.24,1121386859.44,0.6,399.8,6567669084572.64,5e-15,0.6
0.675,2.7,13809.76,4305712199.92,132398015.8,315046665.88,50.04,1260185525.84,0.4,456.16,8489820179851.88,5e-15,0.4
0.675,2.9,13848.86,4701122615.28,144482479.08,343998832.32,50,1375992597.32,0.52,458.04,9315269699954.72,5e-15,0.52
0.675,3.1,12638.78,5021010403.12,154981910.08,367775647.8,50.24,1471118682.72,0.6,417.64,9084082017189.76,5e-15,0.6
0.675,3.3,12378.62,5302280452.92,164360355.28,388719916.2,50.48,1554896222.72,0.56,409.12,9404745014634.6,5e-15,0.56
0.675,3.5,12287.92,5591863331.52,172539771.56,409658243.6,50.2,1638634028.56,0.6,406.08,9876056521255.04,5e-15,0.6
