"epsilon1","epsilon2","tfinal","G","R","Tc","V","mut","trans","Vtot","nu","cancer"
0,0.5,282.7,0,0,1,0.88,0,0,784.2,5e-15,0
0,0.7,1434.08,0,0,1,0.96,0,0.12,21940.44,5e-15,0
0,1.5,1845.28,0,0,34.08,0.84,0,18.84,26026838.16,5e-15,0
0,1.3,4513.32,4.88,0.16,21.88,6.08,0,24.76,19149896.2,5e-15,0
0,1.7,1452.76,0,0,40.8,0.96,0,16.68,28136414.72,5e-15,0
0,1.9,1298.28,0,0,46.36,0.84,0,14.76,35774417.24,5e-15,0
0,1.1,12356.66,64.24,1.6,9.08,66.32,0,34.96,12887586.04,5e-15,0
0,0.9,15365.5,241.88,3.72,1.72,242.08,0,15.6,2402036.76,5e-15,0
0,2.1,1364.64,0,0,48,1.36,0,14.76,35064800.04,5e-15,0
0,2.3,1478.04,0,0,49.52,1.32,0,14.48,47920254.32,5e-15,0
0,2.5,1694.36,0,0,49.92,2.04,0,15.96,61537361.16,5e-15,0
0,2.7,3462.06,0,0,50.04,1.04,0,18.04,72271989.56,5e-15,0
0,2.9,13480.46,36.92,1.96,50,38.04,0,23.84,96180408.76,5e-15,0
0,3.1,18250.5,114,7.6,50.04,115.36,0,38.08,146970681.64,5e-15,0
0,3.3,18250.5,280.76,19.84,50,273.68,0,84.72,364830825.32,5e-15,0
0,3.5,18112.92,129602174.16,8943351.52,50.08,129599436.96,0.04,597.84,836640774488.32,5e-15,0.04
0,3.7,17856.5,660690920.92,45656449.36,50.04,660698735.36,0.04,589.72,5372312163641.12,5e-15,0.04
0,3.9,16922,1133150695.48,78365909.16,50.04,1133139553.36,0.28,558.6,8992408743259.4,5e-15,0.28
0,4.1,15742.7,1545739241.32,107140192.16,50.16,1545729359.2,0.28,519.72,11551944618465,5e-15,0.28
0,4.3,14877.06,1947876182,134883689.84,50.04,1947851547.08,0.4,491.32,13825161589951,5e-15,0.4
0,4.5,13152.3,2301546714.96,159459954.04,50.04,2301553646.16,0.44,433.88,14471896352530.1,5e-15,0.44
0,4.7,15761.32,2617052533.12,181609067.32,50.12,2617048288.44,0.28,520.96,19923944542619.7,5e-15,0.28
0,5.1,13653.4,3190758286.6,221592304.76,50.08,3190554030.48,0.44,451.16,21124074039662.7,5e-15,0.44
0,4.9,14640.12,2898972414.56,201713042.56,50.28,2898942182.16,0.44,483.68,20491773742392.6,5e-15,0.44
0.025,0.5,345.94,0,0,1,0.96,0,0,1354.72,5e-15,0
0.025,0.7,1410,0,0,1.04,1.16,0,0.28,24662.24,5e-15,0
0.025,1.5,1751.22,0,0,32.72,1.2,0,18.24,23457429.04,5e-15,0
0.025,1.3,3227.6,1.4,0.04,23.4,2.56,0,25.68,20111722.12,5e-15,0
0.025,1.7,1482.22,0,0,40.56,1.52,0,16.28,27132095.32,5e-15,0
0.025,1.9,1321.14,0,0,45.88,1.12,0,15.36,31407459.08,5e-15,0
0.025,1.1,10344.24,29.68,0.92,10.28,31.92,0,32.64,12132290.92,5e-15,0
0.025,0.9,13938.08,267.16,5.76,1.76,270.08,0,18.32,2879936.96,5e-15,0
0.025,2.1,1251.52,0,0,48.6,1.28,0,14.24,39381465.6,5e-15,0
0.025,2.3,1472.96,0,0,49.72,1.04,0,14.76,51925449.08,5e-15,0
0.025,2.5,1678.76,0,0,49.96,1.24,0,15.68,63624815.04,5e-15,0
0.025,2.7,4402.72,0,0,50.08,0.88,0,18.24,78846158.08,5e-15,0
0.025,2.9,13442.86,22.76,1.44,50,22.6,0,24.84,95843799.24,5e-15,0
0.025,3.1,18250.5,128.08,7.92,50,125.16,0,40.88,182997845.8,5e-15,0
0.025,3.3,18250.5,337.44,23.56,50,338.04,0,97.4,440713223.84,5e-15,0
0.025,3.5,17817.28,210971215.36,14456507.44,50,210972164.16,0.04,587.88,1465603312382.44,5e-15,0.04
0.025,3.7,17202.06,727342830.56,49904266.76,50.04,727329876.04,0.12,567.88,5715262551028.96,5e-15,0.12
0.025,3.9,16013.86,1176218348.6,80935537.68,50.2,1176216427.4,0.28,528.48,8789648846369.76,5e-15,0.28
0.025,4.1,15252.32,1625140499,111600613.4,50,1625143689.48,0.32,503.12,11755591754509.4,5e-15,0.32
0.025,4.3,16166.58,2000720289.28,137630862.76,50.08,2000734881.48,0.2,534.24,15491168531161.9,5e-15,0.2
0.025,4.5,14186.64,2347683151.92,161669990.88,50.12,2347678047.44,0.4,468.32,15946645613209,5e-15,0.4
0.025,4.7,15079.24,2665455443.4,183747417.88,50.16,2665456568.12,0.32,498.12,19424135469231.9,5e-15,0.32
0.025,5.1,13253.16,3250179324.56,223770171.96,50,3250181030.64,0.52,437.88,20832968751867.8,5e-15,0.52
0.025,4.9,12020.36,2949485804.28,203759443.36,50.28,2949480731.72,0.6,396.68,17054308422945,5e-15,0.6
0.05,0.5,403.76,0,0,1,1.08,0,0,1348.16,5e-15,0
0.05,0.7,6323.9,10.52,0.04,1.08,10.2,0,1.24,187252.76,5e-15,0
0.05,1.5,1699.38,0,0,35.28,0.84,0,18.92,25000546.88,5e-15,0
0.05,1.3,2478.82,0,0,26.24,1.32,0,23.84,23155452.28,5e-15,0
0.05,1.7,1363.84,0,0,43.72,0.88,0,15.92,34684681.36,5e-15,0
0.05,1.9,1309.62,0,0,46.68,1.04,0,14.68,35293906.84,5e-15,0
0.05,1.1,9416.9,22.68,0.4,12.48,23.12,0,33.24,14250866.72,5e-15,0
0.05,0.9,17543.84,460.72,8.04,2.16,463.32,0,30,4884108.8,5e-15,0
0.05,2.1,1304.04,0,0,48.96,0.72,0,13.52,40168246.12,5e-15,0
0.05,2.3,1400.5,0,0,49.72,1.88,0,14.52,49543618.72,5e-15,0
0.05,2.5,1992.16,0,0,49.92,1.44,0,14.52,54604927.56,5e-15,0
0.05,2.7,4666.42,0,0,50.04,1.6,0,18,73770223.68,5e-15,0
0.05,2.9,15172.04,45.56,2.44,50,45.8,0,26.32,109616617.52,5e-15,0
0.05,3.1,18250.5,132.96,9.08,50,133.92,0,43.56,167708981.12,5e-15,0
0.05,3.3,18250.5,422.64,29.52,50.04,431,0,121.84,541540318.2,5e-15,0
0.05,3.5,18250.5,258902653.56,17636030.44,50.16,258906494.32,0,602.52,1934687405692.68,5e-15,0
0.05,3.7,17089.18,793935326.48,54080374.84,50.04,793936109.92,0.16,564.24,6220449740452.8,5e-15,0.16
0.05,3.9,15404.36,1244493322.36,84961024.96,50.16,1244488873.44,0.28,508.56,8942850665809.28,5e-15,0.28
0.05,4.1,15778.62,1670882772.36,114098352.36,50.12,1670903720.68,0.24,521.16,12515994500094.5,5e-15,0.24
0.05,4.3,14369.3,2058144828.52,140564913.12,50.08,2058154398.72,0.36,474.6,14136145377873.2,5e-15,0.36
0.05,4.5,13772.68,2397941864.16,164046928.92,50.16,2397928680.12,0.4,454.56,15786337512516.6,5e-15,0.4
0.05,4.7,14515.5,2730697817.4,186589082.12,50.04,2730691746.68,0.36,479.68,19108293168126.7,5e-15,0.36
0.05,5.1,14801.9,3290795189.72,225193720.24,50.08,3290776843.4,0.32,489.36,23650705327921.1,5e-15,0.32
0.05,4.9,14462.5,3012037356.24,206259782.84,50.16,3012059945.04,0.48,478.16,21082900065505.6,5e-15,0.48
0.075,0.5,388,0,0,1,1.2,0,0.08,1580.24,5e-15,0
0.075,0.7,7617.04,32.68,0.44,1.12,32.76,0,2.32,304036.12,5e-15,0
0.075,1.5,1706.86,0,0,36.24,1.28,0,17.28,26031509.76,5e-15,0
0.075,1.3,2623.7,0,0,29.4,1,0,23.28,27149188,5e-15,0
0.075,1.7,1362.8,0,0,44.36,0.96,0,15.84,33031601.4,5e-15,0
0.075,1.9,1270.12,0,0,46.4,1.64,0,14.92,35951585.92,5e-15,0
0.075,1.1,8231.36,13.84,0.28,14.12,14.92,0,29.36,14051696.08,5e-15,0
0.075,0.9,14669.34,282.88,6.4,2.76,284.76,0,34.16,5633314.48,5e-15,0
0.075,2.1,1286.06,0,0,48.72,1.36,0,14.32,39758941,5e-15,0
0.075,2.3,1432.04,0,0,49.84,1.12,0,14.56,51047914.72,5e-15,0
0.075,2.5,1987.44,0,0,50,1,0,16.48,67307454.28,5e-15,0
0.075,2.7,4895.12,0,0,50.04,1,0,19.48,89891801.6,5e-15,0
0.075,2.9,16904.9,51.4,3.2,50.04,54.04,0,27.56,103290447.36,5e-15,0
0.075,3.1,18250.5,138.8,8.72,50,141.64,0,47.72,198769997.44,5e-15,0
0.075,3.3,18250.5,545.28,37.32,50.08,540,0,155.44,729298988.12,5e-15,0
0.075,3.5,18250.5,351766342.96,23757088.8,50,351768090.04,0,602.56,2743953077446.12,5e-15,0
0.075,3.7,17332.84,855266482.64,57867720.68,50.08,855277212.28,0.12,572.36,6844351248788.76,5e-15,0.12
0.075,3.9,15347.46,1327392251,89790278.4,50,1327389107.36,0.32,506.24,9566721701114.04,5e-15,0.32
0.075,4.1,17417.58,1740746644.52,117886054.96,50.04,1740757052.36,0.12,575.84,14496451644895.1,5e-15,0.12
0.075,4.3,15790.74,2110992583.28,143211490.2,50.12,2110973728.88,0.32,521.72,15966088717378.2,5e-15,0.32
0.075,4.5,12539.46,2453130218.68,166592538.6,50.16,2453102175.08,0.64,413.6,14668414983538.8,5e-15,0.64
0.075,4.7,15916.66,2779036533.48,188628096.8,50.08,2779042426.68,0.32,526.2,21404476658897.2,5e-15,0.32
0.075,5.1,13864.36,3339569112.76,226870918.76,50.08,3339554175.56,0.36,458.2,22424697175924.7,5e-15,0.36
0.075,4.9,12507.6,3074646630.2,208662467.48,50.04,3074623484.76,0.56,412.56,18505953120336.4,5e-15,0.56
0.1,0.5,461.8,0,0,1,1.04,0,0,1649.84,5e-15,0
0.1,0.7,12930.5,65.84,1.04,1.16,67.6,0,4.16,697011.16,5e-15,0
