"epsilon1","epsilon2","tfinal","G","R","Tc","V","mut","trans","Vtot","nu","cancer"
0,0.5,335.3875,0,0,1,0.975,0,0,951.375,5e-15,0
0,0.7,1757.9,0,0,1,1.075,0,0.3,28596.5,5e-15,0
0,1.5,1866.9375,0,0,33.05,1.175,0,19.575,24567779.85,5e-15,0
0,1.3,2990.8,0,0,22.975,1.275,0,25.575,20842457.575,5e-15,0
0,1.7,1425.525,0,0,43,1.075,0,16.175,32449000.475,5e-15,0
0,1.9,1310.1,0,0,45.925,0.825,0,14.1,32569848.4,5e-15,0
0,1.1,14044.3,59.45,1.475,10.125,60.075,0,40.45,14181711.125,5e-15,0
0,0.9,15572.2125,276.025,4.8,1.45,280.35,0,16.8,2614235.85,5e-15,0
0,2.1,1295.875,0,0,48.275,1.2,0,14.15,38756574.2,5e-15,0
0,2.3,1395.7625,0,0,49.625,1.125,0,14.175,47129527.575,5e-15,0
0,2.5,1737.8375,0,0,49.9,1.075,0,15.85,51625380.1,5e-15,0
0,2.7,4071.225,0,0,50,1.4,0,18.05,68054224.15,5e-15,0
0,2.9,12743.8625,19.375,1.15,50.025,19.825,0,23.825,91670007.925,5e-15,0
0,3.1,18250.5,122.1,7.425,50,122.425,0,38.45,156565867.8,5e-15,0
0,3.3,18250.5,263.65,19.45,50.15,266.15,0,80.275,328222490.25,5e-15,0
0,3.5,18250.5,133763857.925,9231715.2,50.075,133766846,0,593.575,875058713435.925,5e-15,0
0,3.7,17442.6625,649834369.825,44941348.425,50.075,649805482.625,0.05,575.875,5191148317860.65,5e-15,0.05
0,3.9,16904.675,1125559141.6,77902836.6,50.1,1125538766.825,0.1,558.2,8936825828619.43,5e-15,0.1
0,4.1,17459.55,1551983610.8,107489405.775,50.05,1551855672.7,0.075,577.05,12972774544299.9,5e-15,0.075
0,4.3,17166.0875,1949554271.2,134975075.675,50.025,1949574922.525,0.125,567.35,16068916649015.8,5e-15,0.125
0,4.5,17305.525,2294954945.55,159135295,50.1,2294950113.975,0.15,572.15,19184954358297.4,5e-15,0.15
0,4.7,17075.5375,2627023884.05,182066469.55,50.025,2627013008.725,0.125,564.7,21736352633516.9,5e-15,0.125
0,4.9,16524.1,2909585946.075,202159741.95,50.175,2909586880.725,0.225,546.55,23334688619165.9,5e-15,0.225
0,5.1,17314.8375,3192035320.7,221644377.975,50.1,3192024136.725,0.15,573.225,26933213930338,5e-15,0.15
0.025,0.5,301.1375,0,0,1,1.225,0,0,960.45,5e-15,0
0.025,0.7,2154.6,0,0,1,1.25,0,0.275,41421.125,5e-15,0
0.025,1.5,1739.6875,0,0,34.25,1.225,0,18.475,25574741.925,5e-15,0
0.025,1.3,3569.025,2.05,0,24.475,3.025,0,24.875,22119560.1,5e-15,0
0.025,1.7,1587.8625,0,0,41.075,1.425,0,15.975,27864264.875,5e-15,0
0.025,1.9,1244.2375,0,0,46.975,1.275,0,14.825,37046080.975,5e-15,0
0.025,1.1,10697.9,59.75,1.2,10.275,60.875,0,36.4,13870748.875,5e-15,0
0.025,0.9,16448.775,358.375,6.35,1.725,356.725,0,21.575,3514668.525,5e-15,0
0.025,2.1,1266.5625,0,0,48.625,0.8,0,14.55,37745514.3,5e-15,0
0.025,2.3,1457.175,0,0,49.7,0.95,0,14.225,48684856.575,5e-15,0
0.025,2.5,1909.6,0,0,49.875,1.1,0,15.7,59075336.675,5e-15,0
0.025,2.7,3696.8125,0,0,50.05,1.05,0,18.45,75967952.275,5e-15,0
0.025,2.9,12995.975,30.85,2.075,50.025,31,0,25.95,109041173.125,5e-15,0
0.025,3.1,17933.275,125.5,8.675,50,126.25,0,39.925,165080635.65,5e-15,0
0.025,3.3,18250.5,333.775,22.15,50.05,331.625,0,98.825,457929400.375,5e-15,0
0.025,3.5,18250.5,211062346.925,14461312.175,50,211066450.075,0,602.325,1513753996258.6,5e-15,0
0.025,3.7,17510.925,729346766.05,50030967.825,50.025,729337587.225,0.075,578.15,5839048495675.42,5e-15,0.075
0.025,3.9,15944.625,1197386186.475,82209679.7,50.025,1197360587.55,0.325,526.3,8969937444064.85,5e-15,0.325
0.025,4.1,17342.6875,1610110052.6,110761857.625,50.125,1610108112.775,0.175,573.125,13314469709627.6,5e-15,0.175
0.025,4.3,16349.175,2004157735.775,137808842.775,50.05,2004158786.55,0.15,540.225,15711302645283.3,5e-15,0.15
0.025,4.5,16808.45,2341622370.5,161378598.45,50.175,2341624639.8,0.125,555.75,18984071107093.6,5e-15,0.125
0.025,4.7,15644.9375,2677027637.1,184268563.45,50.05,2677024560.425,0.275,517.175,20253392864977.7,5e-15,0.275
0.025,4.9,16943.3875,2955001942.15,203989858.925,50.225,2954983539.175,0.175,560.475,24316775692814.9,5e-15,0.175
0.025,5.1,15998.3125,3242973772.825,223495043.275,50.075,3242976963.7,0.275,529.075,25228684810497.9,5e-15,0.275
0.05,0.5,328.7875,0,0,1,1.225,0,0,1001.75,5e-15,0
0.05,0.7,5592.975,8.8,0.125,1,9.475,0,1.225,161628.95,5e-15,0
0.05,1.5,1648.0125,0,0,35.975,1.2,0,18.625,25858068.875,5e-15,0
0.05,1.3,2314.5,0,0,26.475,1.25,0,22.4,22754262.7,5e-15,0
0.05,1.7,1383.2875,0,0,42.65,1.2,0,15.675,32385761.45,5e-15,0
0.05,1.9,1318.3625,0,0,47.075,1.725,0,14.95,36899124.7,5e-15,0
0.05,1.1,8658.45,21.6,0.5,11.925,22.45,0,33.1,15699566.3,5e-15,0
0.05,0.9,17347.3125,417.225,6.625,2.15,422.05,0,30.625,4930230.175,5e-15,0
0.05,2.1,1312.925,0,0,48.5,1,0,14.525,40775849.4,5e-15,0
0.05,2.3,1544.0125,0,0,49.65,1.65,0,14.925,49281610.55,5e-15,0
0.05,2.5,2143.4,0,0,50,0.825,0,16.05,61008894.5,5e-15,0
0.05,2.7,4072.275,0,0,50,1.35,0,19,73775320.775,5e-15,0
0.05,2.9,15730.3375,42.725,3.125,50.025,44.75,0,27.25,103696035.925,5e-15,0
0.05,3.1,18250.5,133.4,7.85,50.05,130.625,0,44.525,181696525.5,5e-15,0
0.05,3.3,18250.5,423.35,28.3,50.075,425.35,0,117.675,557551726.25,5e-15,0
0.05,3.5,18250.5,274399001.525,18675551.925,50.05,274396991.975,0,602.225,2068508644916.4,5e-15,0
0.05,3.7,17991.1,785970146.9,53573757.325,50.1,785974939.8,0.025,594.4,6512219564729.78,5e-15,0.025
0.05,3.9,17938.7625,1252079659.125,85426024.825,50.1,1252070481.3,0.075,592.6,10616580470291,5e-15,0.075
0.05,4.1,17043.125,1667282341.875,113902079.525,50.15,1667272580.85,0.1,563.175,13567171738129.6,5e-15,0.1
0.05,4.3,16916.95,2052991240,140297552.675,50.125,2052991866.925,0.175,559.15,16697455098017.8,5e-15,0.175
0.05,4.5,17597.3625,2407532497.425,164503803.825,50.075,2407525999.7,0.1,581.95,20497415863642.7,5e-15,0.1
0.05,4.7,16671.525,2726995069.35,186428218.9,50.075,2726989506.05,0.175,551.225,22028476719145.3,5e-15,0.175
0.05,4.9,16236.825,3010528112.525,206189691.3,50.175,3010538004.675,0.25,536.975,23753096494547.3,5e-15,0.25
0.05,5.1,15187.4125,3298782257.05,225479228.525,50,3298767197.6,0.325,502.35,24340432458056.3,5e-15,0.325
0.075,0.5,385.6,0,0,1,1.15,0,0,1553.9,5e-15,0
0.075,0.7,7717.85,22.675,0.35,1.05,22.5,0,1.875,315779.125,5e-15,0
0.075,1.5,1797.9375,0,0,36.575,0.825,0,18.85,26385715.6,5e-15,0
0.075,1.3,2293.7,0,0,27.475,1.05,0,22.675,22802226.575,5e-15,0
0.075,1.7,1343.4,0,0,43.575,1.075,0,15.4,30753885.65,5e-15,0
0.075,1.9,1277.4,0,0,47.475,1.175,0,14.925,38215418.8,5e-15,0
0.075,1.1,7783.5375,9.3,0.2,14.05,9.85,0,33.875,15702600.55,5e-15,0
0.075,0.9,17249.675,343.425,6.975,3.15,341.175,0,37.475,6139947.025,5e-15,0
0.075,2.1,1292.9,0,0,49.05,0.825,0,14.1,43592473.875,5e-15,0
0.075,2.3,1439.8375,0,0,49.85,1.075,0,14.225,48150210.6,5e-15,0
0.075,2.5,1997.7,0,0,49.95,1.45,0,16.6,62477646.725,5e-15,0
0.075,2.7,4646.05,0,0,50.025,1.025,0,20.4,93145161.6,5e-15,0
0.075,2.9,16372.175,58.425,3.775,50.025,58.75,0,29.375,119378683.275,5e-15,0
