"epsilon1","epsilon2","tfinal","G","R","P","Tc","V","mut","trans","Vtot","nu","numGclasses","cancer"
0,0.5,294.716666666667,0,0,0,1,0,0,0,0,5e-15,8,0
0,0.7,930.666666666667,0,0,0,1,0,0,0,0,5e-15,8,0
0,1.5,1933.46666666667,0,0,0,31.9333333333333,0,0,0,52.9,5e-15,8,0
0,1.3,5564.41666666667,10.6,0.366666666666667,0,18.7333333333333,0,0,0,195.4,5e-15,8,0
0,1.7,1513.61666666667,0,0,0,41.7333333333333,0,0,0,47.1333333333333,5e-15,8,0
0,1.9,1373.46666666667,0,0,0,44.4333333333333,0,0,0,11.9666666666667,5e-15,8,0
0,0.9,14090.0333333333,232.933333333333,4.9,0.0333333333333333,1.8,0.1,0,0,1155.03333333333,5e-15,8,0
0,1.1,16541.7,143.133333333333,3.56666666666667,0,7.86666666666667,0,0,0,1062.3,5e-15,8,0
0,2.1,1291.7,0,0,0,48.5333333333333,0,0,0,12.8666666666667,5e-15,8,0
0,2.3,1362.71666666667,0,0,0,49.6,0,0,0,7.6,5e-15,8,0
0,2.5,1877.73333333333,0,0,0,49.9,0,0,0,0,5e-15,8,0
0,2.7,4071.31666666667,0.7,0.1,0,49.9666666666667,0,0,0,6.86666666666667,5e-15,8,0
0,2.9,13052.8833333333,31.6666666666667,1.63333333333333,0,50.0666666666667,0,0,0,10.6333333333333,5e-15,8,0
0,3.1,18250.5,127.666666666667,9.06666666666667,0,50.0333333333333,0,0,0,16.9666666666667,5e-15,8,0
0,3.3,18250.5,379.866666666667,25.5333333333333,0,50.0333333333333,0,0,0,145.933333333333,5e-15,8,0
0,3.5,17697.8,3562498.6,249048.366666667,31.2666666666667,50,123.633333333333,1,6.8,1063825.9,5e-15,8,0.0333333333333333
0,3.7,10973.8166666667,528829260.433333,37050731.7,0,50.0333333333333,0,22,0,273.666666666667,5e-15,8,0.733333333333333
0,3.9,8227.45,993584731.7,69729402.7666667,0,50.1,0,26,0,7.43333333333333,5e-15,8,0.866666666666667
0,4.1,5730.05,1426230669.03333,100057167.166667,0,50.0666666666667,0,29,0,0,5e-15,8,0.966666666666667
0,4.3,3768.16666666667,1814593662.1,127541372.866667,0,50.1666666666667,0,30,0,0,5e-15,8,1
0,4.5,3815.18333333333,2211299037.53333,154994774.966667,0,50.0666666666667,0,30,0,0,5e-15,8,1
0,4.7,3766.51666666667,2474707078.93333,174143807.2,0,50.1,0,30,0,0,5e-15,8,1
0,4.9,2339.13333333333,2806175000.26667,197091550.833333,0,50,0,30,0,0,5e-15,8,1
0,5.1,2563.2,3121371029.93333,218977748.966667,0,50.1,0,30,0,0,5e-15,8,1
0.025,0.5,334.65,0,0,0,1,0,0,0,0,5e-15,8,0
0.025,0.7,1557.25,0,0,0,1,0,0,0,0,5e-15,8,0
0.025,1.5,2405.05,0,0,0,31.7333333333333,0,0,0,50.5,5e-15,8,0
0.025,1.3,3946.26666666667,4.13333333333333,0.2,0,20.6,0,0,0,275.966666666667,5e-15,8,0
0.025,1.7,1436.65,0,0,0,41.6666666666667,0,0,0,79.9333333333333,5e-15,8,0
0.025,1.9,1345.95,0,0,0,45.9333333333333,0,0,0,34.3,5e-15,8,0
0.025,0.9,16410.75,336.566666666667,6.9,0.0666666666666667,2.06666666666667,0.3,0,0,1576.5,5e-15,8,0
0.025,1.1,14835.4166666667,100.733333333333,2.63333333333333,0,8.7,0,0,0.0333333333333333,746.5,5e-15,8,0
0.025,2.1,1323.2,0,0,0,48.3333333333333,0,0,0,11.8,5e-15,8,0
0.025,2.3,1452.83333333333,0,0,0,49.4,0,0,0,4.76666666666667,5e-15,8,0
0.025,2.5,1736.86666666667,0,0,0,49.9333333333333,0,0,0,3.7,5e-15,8,0
0.025,2.7,3442.13333333333,0,0,0,50,0,0,0,0.966666666666667,5e-15,8,0
0.025,2.9,15434.1,47.1,3.33333333333333,0,50.0666666666667,0,0,0,6.3,5e-15,8,0
0.025,3.1,18250.5,129.166666666667,8.1,0,50.1333333333333,0,0,0,37.7666666666667,5e-15,8,0
0.025,3.3,18250.5,513.6,34.4333333333333,0,50.0333333333333,0,0,0,322.3,5e-15,8,0
0.025,3.5,18146.75,66059516.4,4590965.86666667,0,50.0666666666667,0,1,0.666666666666667,82169.1333333333,5e-15,8,0.0333333333333333
0.025,3.7,12348.3833333333,606302961.733333,42145830.1,0,50,0,18,0,167.066666666667,5e-15,8,0.6
0.025,3.9,7499.85,1069321309.46667,74463401.6,0,50.1333333333333,0,27,0,5.43333333333333,5e-15,8,0.9
0.025,4.1,6613.38333333333,1488402782.7,103739915.133333,0,50.1,0,29,0,0.433333333333333,5e-15,8,0.966666666666667
0.025,4.3,5960.2,1906634509.13333,132697332.833333,0,50.1,0,29,0,0.166666666666667,5e-15,8,0.966666666666667
0.025,4.5,5347.51666666667,2233126838.1,155872776,0,50.1,0,28,0,0,5e-15,8,0.933333333333333
0.025,4.7,3500.38333333333,2582397874.9,180017641.166667,0,50.1333333333333,0,30,0,0,5e-15,8,1
0.025,4.9,2689.66666666667,2874789188.06667,200627365.033333,0,50.1333333333333,0,30,0,0,5e-15,8,1
0.025,5.1,2682.61666666667,3182839584.3,221314093,0,50.0333333333333,0,30,0,0,5e-15,8,1
0.05,0.5,319.1,0,0,0,1,0,0,0,0,5e-15,8,0
0.05,0.7,1628.95,0,0,0,1,0,0,0,0,5e-15,8,0
0.05,1.5,1871.01666666667,0,0,0,34.0333333333333,0,0,0,90.6666666666667,5e-15,8,0
0.05,1.3,3743.01666666667,2,0.0666666666666667,0,22.8666666666667,0,0,0,273.466666666667,5e-15,8,0
0.05,1.7,1485.23333333333,0,0,0,41.3,0,0,0,17.1,5e-15,8,0
0.05,1.9,1320.43333333333,0,0,0,46.5333333333333,0,0,0,20.7333333333333,5e-15,8,0
