"epsilon1","epsilon2","tfinal","G","R","P","Tc","V","mut","trans","Vtot","nu","numGclasses","cancer"
0,0.7,810.1,0,0,0,1,0,0,0,67.92,5e-15,4,0
0,0.5,324.42,0,0,0,1,0,0,0,0,5e-15,4,0
0,1.5,2049.06,0,0,0,31.12,0,0,0.04,8990.12,5e-15,4,0
0,1.3,5945.66,7.64,0.28,0,20.88,0,0,0.16,19265.32,5e-15,4,0
0,1.7,1515.3,0,0,0,40.12,0,0,0,5840.64,5e-15,4,0
0,1.9,1338.72,0,0,0,45.68,0,0,0,3847.72,5e-15,4,0
0,1.1,17245.12,132.28,3.24,0,7.88,0,0,0.28,47579.24,5e-15,4,0
0,0.9,14658.96,218.8,4.04,0.68,1.6,2.88,0,0.12,24225.92,5e-15,4,0
0,2.1,1340.3,0,0,0,48.28,0,0,0,2695.44,5e-15,4,0
0,2.3,1429.24,0,0,0,49.6,0,0,0.04,2126.88,5e-15,4,0
0,2.5,1694.8,0,0,0,49.8,0,0,0,1682.4,5e-15,4,0
0,2.7,3553,0,0,0,50.04,0,0,0.08,2278.44,5e-15,4,0
0,2.9,10935.54,12.2,1,0,50.04,0,0,0.08,2440.6,5e-15,4,0
0,3.1,18250.5,113.16,8.32,0,50.08,0,0,0,3658.68,5e-15,4,0
0,3.3,18250.5,293.68,20.96,0,50,0,0,0.04,7514.08,5e-15,4,0
0,3.5,18250.5,3278654.08,229520.24,23.92,50,95.84,0,4.92,796025.84,5e-15,4,0
0,3.7,17859.52,524358433.92,36755887.72,615.48,50.12,2468.64,1.2,102.6,19482132.36,5e-15,4,0.04
0,3.9,16981.34,1020521160.56,71471948.88,1155,50.04,4624.52,3.6,164.12,36330295.52,5e-15,4,0.12
0,4.1,16535.5,1458544924.16,102149406.76,1710.16,50.04,6820.48,7.2,209.16,53274640.76,5e-15,4,0.24
0,4.3,15188.06,1851161754.92,129719320.36,2179.32,50.08,8799.48,7.2,225.72,62867470.96,5e-15,4,0.24
0,4.7,10970.52,2544685701.4,178325096.64,2937.04,50.08,11770,16.8,188.92,61047330,5e-15,4,0.56
0,4.5,16124.78,2213105562.6,155087926.24,2571.32,50.08,10268.8,8.4,257.72,79664907.72,5e-15,4,0.28
0,4.9,16577.02,2857098064.8,199999014.52,3395.16,50,13550.84,8.4,307.28,108972335.64,5e-15,4,0.28
0,5.1,13471.6,3121564488,218984784.28,3623.08,50.16,14456.84,12,256.72,93900336.88,5e-15,4,0.4
0.025,0.7,1382.7,0,0,0,1,0,0,0,38.64,5e-15,4,0
0.025,0.5,331.12,0,0,0,1,0,0,0,0,5e-15,4,0
0.025,1.5,1885.04,0,0,0,34.2,0,0,0,9407.08,5e-15,4,0
0.025,1.3,3486.4,4.04,0.12,0,21.2,0,0,0.16,17073.8,5e-15,4,0
0.025,1.7,1377,0,0,0,42.08,0,0,0.04,5577.2,5e-15,4,0
0.025,1.9,1305.1,0,0,0,45.04,0,0,0.04,3712.44,5e-15,4,0
0.025,1.1,13735.08,59.52,1.4,0.08,9.64,0.28,0,0.4,48218.8,5e-15,4,0
0.025,0.9,13213.3,248.16,4.72,0.76,1.48,3.84,0,0.24,32431.8,5e-15,4,0
0.025,2.1,1273.12,0,0,0,48.6,0,0,0.04,2963.12,5e-15,4,0
0.025,2.3,1410.94,0,0,0,49.6,0,0,0,2151.48,5e-15,4,0
0.025,2.5,1838.28,0,0,0,49.8,0,0,0.04,1846.56,5e-15,4,0
0.025,2.7,3100.24,0,0,0,49.88,0,0,0.04,2115.6,5e-15,4,0
0.025,2.9,13149.86,30.72,1.56,0,50.04,0,0,0,2150.28,5e-15,4,0
0.025,3.1,18023.88,135.64,8.52,0,50.04,0,0,0,3289.8,5e-15,4,0
0.025,3.3,18250.5,339.52,24.28,0,50,0,0,0.08,9945.6,5e-15,4,0
0.025,3.5,18250.5,65067671.04,4522092.36,0,50.08,0,0,1,164409,5e-15,4,0
0.025,3.7,18250.5,586516274.6,40807356.48,651.52,50.16,2610.28,0,112.48,21458145.04,5e-15,4,0
0.025,3.9,16651.16,1089760908.64,75735682.68,1310.44,50,5257.48,6,177.28,40825684,5e-15,4,0.2
0.025,4.1,17784.28,1524362050.84,105943667.52,1799.84,50,7211.32,2.4,235.08,60793552.72,5e-15,4,0.08
0.025,4.3,15966.14,1909306874.36,132842997.44,2264.72,50.08,9050.68,8.4,241.4,68577901.16,5e-15,4,0.28
0.025,4.7,14422.48,2597818936.4,180745617.76,3084.68,50.08,12318.84,12,259.64,85479481.44,5e-15,4,0.4
0.025,4.5,13381.62,2267207506.72,157775356.96,2714.88,50.04,10870.2,14.4,222.24,69562763.76,5e-15,4,0.48
0.025,4.9,14433.44,2908039202.4,202118451.64,3489.96,50,13943.96,9.6,274.56,97130206.92,5e-15,4,0.32
0.025,5.1,13207.62,3186272117.72,221448760.6,3823.76,50,15298.72,13.2,256.52,97585268.32,5e-15,4,0.44
0.05,0.7,2301.4,0,0,0.08,1.04,0.28,0,0,580.4,5e-15,4,0
0.05,0.5,271.56,0,0,0,1,0,0,0,0,5e-15,4,0
0.05,1.5,1872.06,0,0,0,34.8,0,0,0.08,9213.08,5e-15,4,0
0.05,1.3,3686.76,3.08,0.2,0,22.24,0,0,0.08,15230.24,5e-15,4,0
0.05,1.7,1417.56,0,0,0,42.08,0,0,0.08,6179.84,5e-15,4,0
0.05,1.9,1331.18,0,0,0,45.4,0,0,0,3339.04,5e-15,4,0
0.05,1.1,12525.32,80.64,1.24,0,10.4,0,0,0.28,44584.32,5e-15,4,0
0.05,0.9,17527.3,358.44,6,1.16,2.12,4.32,0,0.36,56963.08,5e-15,4,0
0.05,2.1,1323.7,0,0,0,48.64,0,0,0,2913.68,5e-15,4,0
0.05,2.3,1469.34,0,0,0,49.8,0,0,0,2401.12,5e-15,4,0
0.05,2.5,1859.66,0,0,0,49.92,0,0,0.04,1898,5e-15,4,0
0.05,2.7,3833.44,0,0,0,49.92,0,0,0.04,1800.12,5e-15,4,0
0.05,2.9,13903.1,37.4,2.16,0,50,0,0,0,2705.56,5e-15,4,0
0.05,3.1,18250.5,139,7.56,0,50.04,0,0,0,3068.56,5e-15,4,0
0.05,3.3,18250.5,450.52,30.96,0,50.08,0,0,0.16,10454.84,5e-15,4,0
0.05,3.5,17698.16,138990995.84,9591926.28,153.32,50,618.68,1.2,23.44,3661198.08,5e-15,4,0.04
0.05,3.7,17714.84,670284936.32,46271354.28,788.56,50.04,3167.8,2.4,128.88,25435139.72,5e-15,4,0.08
0.05,3.9,15694.32,1148479053.64,79288335.76,1424.8,50,5729.04,8.4,176,41927388.6,5e-15,4,0.28
0.05,4.1,17288.14,1561002212.36,107996592.16,1863.92,50.2,7477.32,3.6,229.72,61472208.64,5e-15,4,0.12
0.05,4.3,17182.44,1962770714.04,135653014.16,2407.28,50.12,9638.76,4.8,266.8,79123590.92,5e-15,4,0.16
0.05,4.7,16161.22,2638317475,182553125.48,3198.88,50.2,12815.28,8.4,292.08,99148134,5e-15,4,0.28
0.05,4.5,13270.56,2239328457.52,154672556.84,2744.28,50.04,10983.84,10.8,225.6,72252715.68,5e-15,4,0.36
0.05,4.9,14182.06,2950997318.84,203845926,3612.08,50.08,14515.6,13.2,269.8,98504694.64,5e-15,4,0.44
0.05,5.1,15706.5,3235331937.92,223236862.72,4048.2,50,16177.72,9.6,316.2,122818024.12,5e-15,4,0.32
0.075,0.7,3653.32,0,0,0.08,1,0.48,0,0,1275.28,5e-15,4,0
0.075,0.5,288.98,0,0,0,1,0,0,0,0,5e-15,4,0
0.075,1.5,1692.86,0,0,0,36.24,0,0,0.08,9269.16,5e-15,4,0
0.075,1.3,3135.96,0,0,0,22.32,0,0,0.04,14374.08,5e-15,4,0
0.075,1.7,1464.6,0,0,0,41.36,0,0,0.04,5208.68,5e-15,4,0
0.075,1.9,1319.48,0,0,0,46.6,0,0,0.08,3527.64,5e-15,4,0
