"epsilon1","epsilon2","tfinal","G","R","P","Tc","V","mut","trans","Vtot","nu","numGclasses","cancer"
0,0.5,291.62,0,0,0,1,0,0,0,0,5e-15,8,0
0,0.7,1337.8,0,0,0,1,0,0,0,0,5e-15,8,0
0,1.5,2201.6,0,0,0,31,0,0,0,128.4,5e-15,8,0
0,1.7,1533.16,0,0,0,38.92,0,0,0,36.72,5e-15,8,0
0,1.3,4227.12,0,0,0,18.84,0,0,0,172.68,5e-15,8,0
0,1.9,1309.46,0,0,0,46.28,0,0,0,31.28,5e-15,8,0
0,1.1,16886.12,103.08,2.72,0,8.08,0,0,0,715.8,5e-15,8,0
0,0.9,12553.78,255.72,6.04,0.04,1.32,0.28,0,0,539.8,5e-15,8,0
0,2.1,1296.7,0,0,0,48.4,0,0,0,9.8,5e-15,8,0
0,2.3,1387.64,0,0,0,49.72,0,0,0,1.68,5e-15,8,0
0,2.5,1797.02,0,0,0,49.92,0,0,0,0,5e-15,8,0
0,2.7,3652.92,0,0,0,49.96,0,0,0,8.68,5e-15,8,0
0,2.9,14603.38,33.92,2.28,0,50,0,0,0,26.64,5e-15,8,0
0,3.1,18250.5,136.48,8.48,0,50.12,0,0,0,8.28,5e-15,8,0
0,3.3,18250.5,385.48,27.08,0,50.04,0,0,0,265.28,5e-15,8,0
0,3.5,18250.5,3527456.64,246916.96,31.32,50.04,117.64,0,7.2,1054916.08,5e-15,8,0
0,3.7,17596.36,524349145.52,36755522.96,0,50.12,0,2.4,0,252.92,5e-15,8,0.08
0,3.9,17122.02,1015370454.8,71148281.68,0,50.08,0,3.6,0,9.08,5e-15,8,0.12
0,4.1,16970.22,1453625295.6,101861456.12,0,50.08,0,3.6,0,0,5e-15,8,0.12
0,4.3,15270.48,1855828669.84,129975056.6,0,50.04,0,7.2,0,2.2,5e-15,8,0.24
0,4.5,16148.42,2222244419.8,155551140.12,0,50,0,9.6,0,0,5e-15,8,0.32
0,4.7,15525.22,2548935652,178523137.88,0,50.04,0,7.2,0,0,5e-15,8,0.24
0,4.9,14377.88,2853094606.08,199820078.12,0,50.04,0,10.8,0,0,5e-15,8,0.36
0,5.1,14000.94,3121549499.04,218988011.4,0,50.16,0,13.2,0,0,5e-15,8,0.44
0.025,0.5,295.08,0,0,0,1,0,0,0,0,5e-15,8,0
0.025,0.7,786.62,0,0,0,1,0,0,0,0,5e-15,8,0
0.025,1.5,2056.5,0,0,0,32.56,0,0,0,97.96,5e-15,8,0
0.025,1.7,1457.94,0,0,0,40.8,0,0,0,73.68,5e-15,8,0
0.025,1.3,5184.78,8.76,0.12,0,20.84,0,0,0,287.28,5e-15,8,0
0.025,1.9,1335.28,0,0,0,45.16,0,0,0,18.32,5e-15,8,0
0.025,1.1,11742.88,49.48,1.16,0,9.96,0,0,0,905.04,5e-15,8,0
0.025,0.9,16079.12,377.92,8.48,0.12,1.96,0.72,0,0,492.08,5e-15,8,0
0.025,2.1,1355.52,0,0,0,48.32,0,0,0,14.84,5e-15,8,0
0.025,2.3,1458.34,0,0,0,49.28,0,0,0,0,5e-15,8,0
0.025,2.5,1789.78,0,0,0,50,0,0,0,7.64,5e-15,8,0
0.025,2.7,3713.76,0,0,0,49.96,0,0,0,6,5e-15,8,0
0.025,2.9,14552.2,45.28,2.4,0,50.04,0,0,0,14.24,5e-15,8,0
0.025,3.1,18250.5,126.04,9.36,0,50.12,0,0,0,43.48,5e-15,8,0
0.025,3.3,18250.5,452,30.44,0,50.04,0,0,0,251.52,5e-15,8,0
0.025,3.5,18094.66,67825880.96,4714235.16,0,50.04,0,1.2,0.72,85315.92,5e-15,8,0.04
0.025,3.7,18209.62,597317939.2,41550396.04,0,50.08,0,1.2,0,124.36,5e-15,8,0.04
0.025,3.9,17231.96,1069223085.24,74466604.08,0,50.16,0,3.6,0,7.64,5e-15,8,0.12
0.025,4.1,16421.16,1519535965.76,105659131.76,0,50.04,0,6,0,0.24,5e-15,8,0.2
0.025,4.3,15774.6,1904698458.44,132590737.24,0,50.12,0,8.4,0,0,5e-15,8,0.28
0.025,4.5,14754.08,2268796715.6,157855853.84,0,50.08,0,9.6,0,0,5e-15,8,0.32
0.025,4.7,14876.2,2602149198.96,180948790.48,0,50.04,0,15.6,0,0,5e-15,8,0.52
0.025,4.9,14185.86,2896226462.4,201607727.68,0,50.08,0,12,0,0,5e-15,8,0.4
0.025,5.1,14681.34,3176164943.56,221056599.96,0,50.08,0,10.8,0,0,5e-15,8,0.36
0.05,0.5,349.54,0,0,0,1,0,0,0,0,5e-15,8,0
0.05,0.7,2653.1,0,0,0,1.04,0,0,0,0,5e-15,8,0
0.05,1.5,1759.12,0,0,0,35.2,0,0,0,69.4,5e-15,8,0
0.05,1.7,1483.86,0,0,0,40.12,0,0,0,9.76,5e-15,8,0
0.05,1.3,3467.36,0,0,0,23.32,0,0,0,215.04,5e-15,8,0
0.05,1.9,1309.62,0,0,0,45.36,0,0,0,9.72,5e-15,8,0
0.05,1.1,13587.36,61,1.36,0,10.44,0,0,0,526.28,5e-15,8,0
0.05,0.9,16096.6,303.12,6.24,0,2.76,0,0,0,1705.92,5e-15,8,0
0.05,2.1,1295.28,0,0,0,48.8,0,0,0,2,5e-15,8,0
0.05,2.3,1490.92,0,0,0,49.56,0,0,0,10.52,5e-15,8,0
0.05,2.5,1847.64,0,0,0,49.76,0,0,0,6.4,5e-15,8,0
0.05,2.7,5121.36,0.6,0.08,0,50.04,0,0,0,0.16,5e-15,8,0
0.05,2.9,12985.98,34.76,2.36,0,50.04,0,0,0,11.88,5e-15,8,0
0.05,3.1,18250.5,161.8,10.6,0,50.04,0,0,0,38.76,5e-15,8,0
0.05,3.3,18250.5,602.92,41.8,0,50.04,0,0,0,433.88,5e-15,8,0
0.05,3.5,18250.5,126302741.12,8716075.84,3.6,50.12,13.72,0,0.8,145117,5e-15,8,0
0.05,3.7,17911.2,675691387.76,46623257.08,0,50,0,2.4,0,121.32,5e-15,8,0.08
0.05,3.9,16267.3,1143620509.56,78988277.96,0,50.08,0,6,0,5.72,5e-15,8,0.2
0.05,4.1,16241.94,1570747127.52,108557405.44,0,50.12,0,8.4,0,0,5e-15,8,0.28
0.05,4.3,15870.58,1967454489.48,135900166.04,0,50.08,0,8.4,0,0,5e-15,8,0.28
0.05,4.5,14237.42,2319986862.92,160343411.32,0,50.12,0,12,0,0,5e-15,8,0.4
0.05,4.7,15977,2646827401.6,182937172.8,0,50.12,0,8.4,0,0,5e-15,8,0.28
0.05,4.9,13388.36,2951028677.96,203847325.32,0,50.08,0,12,0,0,5e-15,8,0.4
0.05,5.1,13100.96,3203947651.96,222062599.72,0,50.32,0,16.8,0,0,5e-15,8,0.56
0.075,0.5,458.3,0,0,0,1,0,0,0,0,5e-15,8,0
0.075,0.7,3742.02,7,0.2,0,1.04,0,0,0,0,5e-15,8,0
0.075,1.5,1668.12,0,0,0,36.32,0,0,0,74.4,5e-15,8,0
0.075,1.7,1466.74,0,0,0,42.48,0,0,0,2.96,5e-15,8,0
0.075,1.3,2852.28,0,0,0,24.92,0,0,0,166.8,5e-15,8,0
0.075,1.9,1276.4,0,0,0,46.92,0,0,0,1.88,5e-15,8,0
0.075,1.1,11107.7,42.92,0.96,0,11.68,0,0,0,588.12,5e-15,8,0
0.075,0.9,16630.28,517.84,10.4,0.04,2.64,0.04,0,0,1855.48,5e-15,8,0
0.075,2.1,1343,0,0,0,48.72,0,0,0,0.04,5e-15,8,0
0.075,2.3,1460.88,0,0,0,49.2,0,0,0,5.28,5e-15,8,0
0.075,2.5,1998.98,0,0,0,49.88,0,0,0,6.88,5e-15,8,0
0.075,2.7,5859,0,0,0,49.96,0,0,0,6.32,5e-15,8,0
0.075,2.9,15787.46,47.08,2.24,0,50.04,0,0,0,14.48,5e-15,8,0
0.075,3.1,18250.5,184.68,11.48,0,50,0,0,0,39.72,5e-15,8,0
0.075,3.3,18250.5,736.2,51.8,0,50.04,0,0,0,812.64,5e-15,8,0
0.075,3.5,18250.5,214396715.16,14685037.24,0,50,0,0,0,8240.08,5e-15,8,0
0.075,3.7,16119.8,736556880.76,50484982.04,0,50.04,0,6,0,62.24,5e-15,8,0.2
0.075,3.9,18063.22,1217941626.8,83428151.44,0,50,0,3.6,0,12.48,5e-15,8,0.12
0.075,4.1,16112.24,1641517510.76,112503848.04,0,50.04,0,8.4,0,0,5e-15,8,0.28
0.075,4.3,14868.6,2023060494.96,138745735,0,50,0,10.8,0,0,5e-15,8,0.36
0.075,4.5,17030.16,2379994190.12,163210247.64,0,50.08,0,3.6,0,0,5e-15,8,0.12
0.075,4.7,14311.8,2691491797.92,184881461.6,0,50.2,0,14.4,0,0,5e-15,8,0.48
0.075,4.9,11983.04,3002032808.48,205876897.28,0,50.08,0,18,0,0,5e-15,8,0.6
0.075,5.1,13212.86,3268546950.84,224372858,0,50.04,0,13.2,0,0,5e-15,8,0.44
0.1,0.5,435.18,0,0,0,1.04,0,0,0,0,5e-15,8,0
0.1,0.7,9939.82,43.68,0.96,0,1.12,0,0,0,0,5e-15,8,0
0.1,1.5,1632,0,0,0,36.72,0,0,0,81.28,5e-15,8,0
0.1,1.7,1442.4,0,0,0,41,0,0,0,30.48,5e-15,8,0
0.1,1.3,2753.44,0,0,0,24.4,0,0,0,197.68,5e-15,8,0
0.1,1.9,1273.92,0,0,0,47.6,0,0,0,6.24,5e-15,8,0
0.1,1.1,10748.98,35,0.76,0,12.96,0,0,0.04,971.96,5e-15,8,0
0.1,0.9,15053.66,383.68,6.68,0,3.4,0,0,0,2284.52,5e-15,8,0
0.1,2.1,1364.82,0,0,0,48.88,0,0,0,12.84,5e-15,8,0
0.1,2.3,1587.12,0,0,0,49.72,0,0,0,6.84,5e-15,8,0
0.1,2.5,2006.2,0,0,0,49.92,0,0,0,12.08,5e-15,8,0
0.1,2.7,6344.88,2.76,0.08,0,50.04,0,0,0,10.56,5e-15,8,0
0.1,2.9,18250.5,88.24,4.68,0,50,0,0,0,6.36,5e-15,8,0
0.1,3.1,18250.5,205.44,11.64,0,50.08,0,0,0,39.76,5e-15,8,0
0.1,3.3,18250.5,1054.8,69.36,0,50,0,0,0,1402.28,5e-15,8,0
0.1,3.5,17998.42,257415544.88,17521843.08,1.32,50.2,4.72,2.4,0.28,46927.56,5e-15,8,0.08
0.1,3.7,17661.02,810805635.04,55137301.2,0,50,0,2.4,0,29.92,5e-15,8,0.08
0.1,3.9,16643.36,1271784839.84,86572169.72,0,50.08,0,6,0,1.12,5e-15,8,0.2
0.1,4.1,15114.12,1692654740,115280322.48,0,50.12,0,7.2,0,2,5e-15,8,0.24
0.1,4.3,14438.04,2000965194.04,136521024.8,0,50.16,0,10.8,0,0,5e-15,8,0.36
0.1,4.5,17270.96,2440015990.12,166014392.84,0,50.04,0,7.2,0,0,5e-15,8,0.24
0.1,4.7,12339.8,2765971889.96,188087368.08,0,50,0,18,0,0,5e-15,8,0.6
0.1,4.9,14709.78,3053076218.28,207845571.12,0,50.08,0,10.8,0,0,5e-15,8,0.36
0.1,5.1,13962.02,3313728075.56,225985868.88,0,50.2,0,13.2,0,0,5e-15,8,0.44
0.125,0.5,463.7,0,0,0,1,0,0,0,0,5e-15,8,0
0.125,0.7,10514.88,80,0.84,0,1.04,0,0,0,194.48,5e-15,8,0
0.125,1.5,1615.88,0,0,0,38.04,0,0,0,80.76,5e-15,8,0
0.125,1.7,1338.02,0,0,0,44.28,0,0,0,41.24,5e-15,8,0
0.125,1.3,2987.08,0,0,0,27.36,0,0,0,225.08,5e-15,8,0
0.125,1.9,1291.46,0,0,0,46.68,0,0,0,22.44,5e-15,8,0
0.125,1.1,7271.54,15.52,0.16,0,14.28,0,0,0,509.16,5e-15,8,0
0.125,0.9,16738.64,239.72,5.36,0,4.68,0,0,0,3899.64,5e-15,8,0
0.125,2.1,1379.58,0,0,0,49.04,0,0,0,7.84,5e-15,8,0
0.125,2.3,1652.92,0,0,0,49.68,0,0,0,11.12,5e-15,8,0
0.125,2.5,2426.04,0,0,0,49.92,0,0,0,0.96,5e-15,8,0
0.125,2.7,7689.94,5.84,0.4,0,50,0,0,0,20.68,5e-15,8,0
