"epsilon1","epsilon2","tfinal","G","R","P","Tc","V","C","mut","div","trans","Vtot","nu","numGclasses","cancer"
0.35,2.25,2221.975,0,0,0,50.06,0,0,0,8210173.77,0.02,2319.37,5e-17,4,0
0.35,2.75,17447.23,71.66,4.09,0,50.06,0,0,0,57407497.02,0.05,5611.59,5e-17,4,0
0.35,3.25,15679.13,1221521360.74,69691171.06,2603.04,50.06,10393.38,0,0.41,1012870076275.15,248.01,75295295.31,5e-17,4,0.41
0.35,3.75,14283.215,2390655445.57,136427001.64,5101.43,50.07,20402.59,0,0.67,1863600473259.26,304.25,138708444.45,5e-17,4,0.67
0.35,4.25,11462.54,3283516478,187438429.92,7000.85,50.09,27987.06,0,0.8,2059731404678.44,269.54,152271761.92,5e-17,4,0.8
0.35,4.75,11353.2,3985262496.29,227704610.59,8462.04,50.14,33779.65,0,0.83,2499206448586.23,280.28,184507543.55,5e-17,4,0.83
0.35,0.5,8701.155,15.59,0.14,0.05,9.2,0.19,0,0,271397.74,1.4,216334.88,5e-17,4,0
0.35,1,1529.925,0,0,0,38.33,0,0,0,1119481.85,0.13,18875.5,5e-17,4,0
0.35,1.5,1191.455,0,0,0,48.65,0,0,0,2479113.23,0.02,5634.53,5e-17,4,0
0.35,2,1412.06,0,0,0,50,0,0,0,5248334.52,0,2643.22,5e-17,4,0
0.35,2.5,4829.4,0,0,0,50.08,0,0,0,16078642.82,0.02,2715.42,5e-17,4,0
0.35,3,16923.975,489849468.82,27941935.31,1048.27,50.06,4200.2,0,0.24,407413898359.48,142.5,30335144.08,5e-17,4,0.24
0.35,3.5,14004.01,1848558222.87,105469078,3956.46,50.06,15795.06,0,0.61,1394171368894.23,268.47,103755892.55,5e-17,4,0.61
0.35,4,12801.7,2868728625.92,163653784.04,6120.06,50.05,24470.81,0,0.73,2007123692464.36,289.69,149148486.37,5e-17,4,0.73
0.35,4.5,12887.525,3652212582.04,208620984.66,7762,50.13,31043.22,0,0.69,2600945194781.75,312.62,191941796.02,5e-17,4,0.69
0.35,5,10823.9,4286986415.79,244903614.2,9113.27,50.13,36477.52,0,0.88,2565359311420.14,272.08,189150750.03,5e-17,4,0.88
0.4,0.75,2635.665,0,0,0,22.55,0,0,0,600474.32,0.3,52328.63,5e-17,4,0
0.4,1.25,1293.905,0,0,0,43.74,0.04,0,0,1555235.79,0.12,9167.83,5e-17,4,0
0.4,1.75,1213.065,0,0,0,49.6,0,0,0,3369321.43,0.05,3519.84,5e-17,4,0
0.4,2.25,1851.35,0,0,0,50.04,0,0,0,7509767.8,0,2240.07,5e-17,4,0
0.4,2.75,15041.71,29.59,1.6,0,50.05,0,0,0,39247766.51,0.01,3882.82,5e-17,4,0
0.4,3.25,16234.97,1067684222.98,61979606.43,2181.46,50.06,8719.49,0,0.33,928224704943.38,232.65,64584148.98,5e-17,4,0.33
0.4,3.75,13671.73,2259985381.9,131186023.32,4595.54,50.05,18370.95,0,0.62,1707481810382.15,281.13,118895829.67,5e-17,4,0.62
0.4,4.25,12158.605,3168230940.99,183973883.91,6430.17,50.07,25703.95,0,0.79,2148653070010.7,279.25,149165101.33,5e-17,4,0.79
0.4,4.75,11357.1,3884203106.16,225664443.02,7874.75,50.1,31496.88,0,0.88,2476141986018.06,275.16,171498551.86,5e-17,4,0.88
0.4,0.5,14699.015,67.52,0.7,0.19,5.46,0.74,0,0,220976.38,1.85,254239.02,5e-17,4,0
0.4,1,1609.07,0,0,0,35.99,0,0,0,1069422.36,0.14,19971.7,5e-17,4,0
0.4,1.5,1207.02,0,0,0,47.99,0,0,0,2331563.44,0.04,5436.3,5e-17,4,0
0.4,2,1455.635,0,0,0,49.97,0,0,0,4990377.43,0.05,2680.82,5e-17,4,0
0.4,2.5,3941.735,0,0,0,50.01,0,0,0,13215925.79,0.02,2337.76,5e-17,4,0
0.4,3,17692.035,315010317.41,18289191.97,641.69,50.11,2571.17,0,0.11,263652809859.26,96.26,18345742.7,5e-17,4,0.11
0.4,3.5,15944.245,1705704349.46,99024233.19,3480.78,50.06,13931.88,0,0.43,1495107355123.74,292.18,103977996.11,5e-17,4,0.43
0.4,4,13328.855,2738738007.73,159081760.46,5547.21,50.09,22173.61,0,0.68,2031390097557.29,292.21,140671903.37,5e-17,4,0.68
0.4,4.5,12763.635,3545543220.67,205952823.7,7190.36,50.09,28778.45,0,0.75,2539879728290.3,304.45,175780321.57,5e-17,4,0.75
0.4,5,11324.965,4182996856.62,243304093.37,8432.68,50.17,33729.76,0,0.87,2670060081091.5,279.88,184403995.1,5e-17,4,0.87
0.45,0.75,3093.59,0,0,0,19.94,0,0,0,597426.81,0.31,61100.28,5e-17,4,0
0.45,1.25,1360.36,0,0,0,42.7,0,0,0,1521489.64,0.05,9454.94,5e-17,4,0
0.45,1.75,1226.31,0,0,0,49.28,0,0,0,3011164.4,0.04,3469.3,5e-17,4,0
0.45,2.25,1745.855,0,0,0,50.02,0,0,0,6901251.33,0.03,2072.05,5e-17,4,0
0.45,2.75,11720.45,13.03,0.63,0,50.1,0,0,0,28332089.88,0,2969.82,5e-17,4,0
0.45,3.25,16633.215,919989064.06,54296675.27,1782.96,50.02,7133.3,0,0.29,827745829053.4,212.38,54092279.24,5e-17,4,0.29
0.45,3.75,13594.765,2126661933.52,125568684.79,4135.33,50.05,16509,0,0.65,1620501597700.35,266.55,105572059.73,5e-17,4,0.65
0.45,4.25,12804.43,3050590010.63,180184631.1,5910.73,50.07,23642.89,0,0.72,2218179815095.52,285.34,144211849.22,5e-17,4,0.72
0.45,4.75,11558.79,3775787038.69,223249587.4,7272.7,50.13,29107.08,0,0.79,2492279337811.35,274.82,161126885.12,5e-17,4,0.79
0.45,0.5,17220.845,157.37,1.47,1.03,3.04,4.27,0,0,138796,1.68,281419.88,5e-17,4,0
0.45,1,1742.565,0,0,0,33.94,0,0,0,1019958.45,0.14,20531.67,5e-17,4,0
0.45,1.5,1215.945,0,0,0,47.38,0,0,0,2221470.39,0.07,5420.18,5e-17,4,0
0.45,2,1401.74,0,0,0,49.94,0,0,0,4551886.33,0,2693.58,5e-17,4,0
0.45,2.5,3164.755,0,0,0,50.06,0,0,0,11791869.8,0.02,2028.29,5e-17,4,0
0.45,3,18161.725,158393982.29,9345392.62,308.18,50.05,1228.84,0,0.02,120608349506.23,45.24,7884615.78,5e-17,4,0.02
0.45,3.5,13662.605,1558545162.75,92082801.32,3014.48,50.09,12034.1,0,0.62,1175444041859.07,232.39,76343728.78,5e-17,4,0.62
0.45,4,13460.905,2617478483,154581140.42,5068.46,50.06,20269.28,0,0.73,1991802641106.37,285.05,129547257.39,5e-17,4,0.73
0.45,4.5,12673.295,3424439952.22,202642807.62,6576.88,50.18,26242.74,0,0.78,2478834988541.58,293.52,159408703.88,5e-17,4,0.78
0.45,5,10438.545,4084992641.28,241610489.6,7858.9,50.15,31433.54,0,0.87,2434913687503.32,253.74,157091561.38,5e-17,4,0.87
0.5,0.75,4833.02,3.79,0.01,0,15.09,0.05,0,0,499288.09,0.28,62547.6,5e-17,4,0
0.5,1.25,1416.48,0,0,0,41.45,0,0,0,1498317.7,0.08,9721.56,5e-17,4,0
0.5,1.75,1183.255,0,0,0,49.07,0,0,0,2931177.23,0.02,3378.61,5e-17,4,0
0.5,2.25,1711.725,0,0,0,50.01,0,0,0,6322623.48,0.02,1996.79,5e-17,4,0
0.5,2.75,8775.18,1.03,0.04,0,50.05,0,0,0,24085526.96,0.06,2645.87,5e-17,4,0
0.5,3.25,16929.54,759980633.14,45636003.83,1400.12,50.06,5591.31,0,0.21,699226267165,183.25,42725807.97,5e-17,4,0.21
0.5,3.75,14084.245,1985303762.35,119325311.87,3650.76,50.11,14601.31,0,0.62,1594450169068.01,264.79,96928532.82,5e-17,4,0.62
0.5,4.25,13539.53,2935276787.98,176257745.18,5424.25,50.05,21705.53,0,0.78,2296595568775.19,296.11,140108938.78,5e-17,4,0.78
0.5,4.75,12289.01,3670518056.97,220692229.53,6741.68,50.13,27007.72,0,0.79,2622384558676.44,287.25,158682822.42,5e-17,4,0.79
0.5,0.5,15373.95,211.47,2.34,2.64,1.47,10.92,0,0,42553.13,0.57,96194.93,5e-17,4,0
0.5,1,1941.285,0,0,0,30.94,0,0,0,957888.01,0.19,21296.41,5e-17,4,0
0.5,1.5,1235.075,0,0,0,46.66,0,0,0,2088956.33,0.03,5335.24,5e-17,4,0
0.5,2,1307.12,0,0,0,49.87,0,0,0,4463591.21,0.01,2567,5e-17,4,0
0.5,2.5,2894.145,0,0,0,50.04,0,0,0,11008291.93,0,2007.64,5e-17,4,0
0.5,3,18250.5,1441987.15,86539.95,2.78,50.06,10.5,0,0,1699801711.25,0.64,105926.46,5e-17,4,0
0.5,3.5,16311.23,1425703500.87,85566870.56,2629.6,50.02,10511.1,0,0.36,1314047750554.15,261.48,80519697.23,5e-17,4,0.36
0.5,4,13358.485,2486232918.97,149434028.09,4570.72,50.11,18259,0,0.71,1908875021558.69,275.09,116183041.88,5e-17,4,0.71
0.5,4.5,12034.125,3323336009.66,199688183.01,6117.14,50.09,24481.7,0,0.75,2314313013071.85,274.45,140921652.05,5e-17,4,0.75
0.5,5,12030.13,3987995309.79,239748961.3,7319.68,50.12,29285.5,0,0.82,2795556296487.95,288.36,169308880.84,5e-17,4,0.82
0.55,0.75,6902.54,7.53,0.23,0.01,12.49,0.04,0,0,472573.27,0.42,74078.58,5e-17,4,0
0.55,1.25,1465.57,0,0,0,39.71,0,0,0,1463187.86,0.05,10502.05,5e-17,4,0
0.55,1.75,1187.21,0,0,0,48.81,0,0,0,2911113.59,0.01,3620.35,5e-17,4,0
0.55,2.25,1584.985,0,0,0,50,0,0,0,6168349.04,0.02,1928.07,5e-17,4,0
0.55,2.75,6574.81,0.97,0.02,0,50.04,0,0,0,19231869.37,0.02,2137.13,5e-17,4,0
0.55,3.25,17190.385,606130268.81,37002141.18,1065.69,50.06,4268.87,0,0.16,566676397877.66,151.58,32508486.04,5e-17,4,0.16
0.55,3.75,14172.99,1851982979.19,113160261.82,3251.66,50.11,13009.09,0,0.61,1518371452261.85,251.49,86684690.11,5e-17,4,0.61
0.55,4.25,12594.21,2807046823.53,171608269.79,4920.99,50.14,19661.53,0,0.76,2071502372997.97,266.08,117798597.28,5e-17,4,0.76
0.55,4.75,11923.97,3565243069.96,217931617.46,6243.64,50.13,24985.43,0,0.79,2508939359169.95,272.05,142753543.53,5e-17,4,0.79
0.55,0.5,14411.075,102.08,1.3,1.23,1.14,4.81,0,0,20345.13,0.28,38604.77,5e-17,4,0
0.55,1,2065.98,0,0,0,29.25,0,0,0,986465.56,0.12,24469.67,5e-17,4,0
0.55,1.5,1243.71,0,0,0,45.74,0,0,0,2030658.4,0.05,5495.86,5e-17,4,0
0.55,2,1267.205,0,0,0,49.87,0,0,0,4044239.78,0.03,2503.59,5e-17,4,0
0.55,2.5,2334.635,0,0,0,50.04,0,0,0,9500782.63,0.01,1819.11,5e-17,4,0
0.55,3,18131.405,150.11,9.01,0,50.05,0,0,0,131388289.01,0.05,8739.07,5e-17,4,0
0.55,3.5,14921.845,1277127447.15,77972023.61,2247,50.06,8994.59,0,0.47,1082792948317.44,217.42,62012908.93,5e-17,4,0.47
0.55,4,13237.545,2363736248.42,144389374.09,4155.39,50.09,16641.19,0,0.67,1821251872492.88,260.12,103777640.54,5e-17,4,0.67
0.55,4.5,12695.585,3207754399.14,196079027.21,5617.99,50.13,22473.17,0,0.78,2398497652015.05,280.98,136325821.17,5e-17,4,0.78
0.55,5,11343.06,3889990973.14,237667219.71,6833.62,50.1,27338.97,0,0.9,2606766616214.73,266.33,148477644.3,5e-17,4,0.9
0.6,0.75,9859.47,22.4,0.39,0.01,8.48,0.06,0,0,408690.34,0.64,85792.81,5e-17,4,0
0.6,1.25,1558.295,0,0,0,37.22,0,0,0,1337402.73,0.07,10218.4,5e-17,4,0
0.6,1.75,1218.135,0,0,0,48.21,0,0,0,2731370.9,0.03,3537.78,5e-17,4,0
0.6,2.25,1491.91,0,0,0,49.98,0,0,0,5616750.09,0,1836.35,5e-17,4,0
0.6,2.75,4934.86,0,0,0,50.05,0,0,0,16468038.26,0,1882.57,5e-17,4,0
0.6,3.25,17724.205,446158463.65,27692555.62,747.25,50.1,2992.7,0,0.11,425365054213.38,117.46,22869571.77,5e-17,4,0.11
0.6,3.75,13957.11,1710914212.41,106289585.16,2860.94,50.11,11449.38,0,0.62,1403899950673.11,232.27,75164285.42,5e-17,4,0.62
0.6,4.25,12937.765,2695287099.42,167332867.33,4533.37,50.09,18102.25,0,0.73,2075286668092.89,264.4,111363977.46,5e-17,4,0.73
0.6,4.75,12444.81,3466295203.49,215148988.04,5822.31,50.07,23292.94,0,0.77,2586797964526.32,277.23,138864954.89,5e-17,4,0.77
0.6,0.5,9074.545,23.56,0.25,0.22,1.03,1.07,0,0,6433.84,0.09,10830.8,5e-17,4,0
0.6,1,2247.27,0,0,0,25.85,0.03,0,0,869732.34,0.16,24543.25,5e-17,4,0
0.6,1.5,1256.57,0,0,0,45.59,0,0,0,2088729.75,0.03,6028.56,5e-17,4,0
0.6,2,1285.73,0,0,0,49.84,0,0,0,4264489.48,0.02,2609.85,5e-17,4,0
0.6,2.5,2106.13,0,0,0,50.04,0,0,0,8905857.91,0.01,1720.55,5e-17,4,0
0.6,3,17216.385,66.21,4.28,0,50.07,0,0,0,59275654.57,0.03,4151.02,5e-17,4,0
0.6,3.5,15660.715,1129997803.01,70148623.74,1899.76,50.09,7589,0,0.49,1019778580305.82,208.51,54766629.46,5e-17,4,0.49
0.6,4,13099.86,2234998537.64,138821343.63,3737.77,50.12,14979.53,0,0.69,1730727515520.04,248.57,92737499.56,5e-17,4,0.69
0.6,4.5,11803.805,3095554323.58,192342495.93,5175.79,50.14,20718.96,0,0.88,2180006673497,254.43,116465903.61,5e-17,4,0.88
0.6,5,11318.245,3781997525.71,235137252.45,6305.46,50.18,25244.51,0,0.83,2570242001964.69,259.54,136358785.64,5e-17,4,0.83
0.65,0.75,14975.505,64.43,0.89,0.13,5.52,0.63,0,0,343758.95,0.63,110408.81,5e-17,4,0
0.65,1.25,1597.525,0,0,0,36.62,0,0,0,1430521.86,0.11,11849.74,5e-17,4,0
0.65,1.75,1192.54,0,0,0,48.25,0,0,0,2696754.01,0.03,3753.88,5e-17,4,0
0.65,2.25,1456.585,0,0,0,49.96,0,0,0,5293899.05,0.01,1870.81,5e-17,4,0
0.65,2.75,3851.69,0,0,0,50.05,0,0,0,15610475.78,0.01,1783.64,5e-17,4,0
0.65,3.25,17601.11,287667354.41,18139860.96,461.37,50.13,1843.48,0,0.12,259435044231.8,73.49,13123876.03,5e-17,4,0.12
0.65,3.75,14859.035,1594656854.35,100524203.55,2568,50.04,10264.03,0,0.5,1408328108790.42,235.55,71313219.16,5e-17,4,0.5
0.65,4.25,12749.42,2574099923.15,162464874.6,4124.07,50.12,16492.72,0,0.73,1980376589078.07,251.68,99523566,5e-17,4,0.73
0.65,4.75,11303.79,3356833624.79,211838290.91,5361.59,50.11,21453.11,0,0.79,2304145034737.02,245.85,116031949.59,5e-17,4,0.79
0.65,0.5,2746.2,0.99,0.02,0,1.02,0.05,0,0,901.77,0.01,1032.36,5e-17,4,0
0.65,1,2746.52,0,0,0,22.82,0,0,0,831412.64,0.21,27004.55,5e-17,4,0
0.65,1.5,1291.84,0,0,0,44.55,0,0,0,1995944.04,0.05,5946.2,5e-17,4,0
0.65,2,1227.14,0,0,0,49.65,0,0,0,3741820.75,0.02,2610.77,5e-17,4,0
0.65,2.5,1915.09,0,0,0,50.02,0,0,0,8185717.11,0,1573.55,5e-17,4,0
0.65,3,14199.075,28.77,1.57,0,50.08,0,0,0,43591092.21,0.02,3096.26,5e-17,4,0
0.65,3.5,16234.895,986919651.92,62256241.54,1583.05,50.09,6320.13,0,0.34,932511863051.25,193.6,47077851.01,5e-17,4,0.34
0.65,4,13063.555,2103536687.28,132857046.47,3358.45,50.17,13430.01,0,0.76,1646260368696.2,236.72,82498490.09,5e-17,4,0.76
0.65,4.5,11570.215,2981528347.82,188313316.67,4747.9,50.15,18970.21,0,0.79,2088594661411.85,239.89,104753247.92,5e-17,4,0.79
0.65,5,11931.33,3684973215.04,232686673.39,5859.56,50.15,23467.48,0,0.83,2684471678737.48,267.1,134478347.7,5e-17,4,0.83
0.7,0.75,17301.86,164.16,2.45,0.34,2.87,1.43,0,0,196969.02,0.82,117826.46,5e-17,4,0
0.7,1.25,1757.16,0,0,0,33.85,0,0,0,1251722.5,0.08,11495.29,5e-17,4,0
0.7,1.75,1210.63,0,0,0,47.74,0,0,0,2671060.86,0.03,3648.02,5e-17,4,0
0.7,2.25,1384.1,0,0,0,49.9,0,0,0,5062922.44,0.01,1761.45,5e-17,4,0
0.7,2.75,3117.44,0,0,0,50.06,0,0,0,12667339.74,0.01,1599.63,5e-17,4,0
0.7,3.25,18218.87,147725958.69,9454582.27,226.95,50.04,907.34,0,0.02,123389334467.26,35.62,5896916.37,5e-17,4,0.02
0.7,3.75,16008.465,1458673731.64,93436226.21,2236.17,50.06,8948.78,0,0.39,1411166996163.47,236.21,67157161.58,5e-17,4,0.39
0.7,4.25,12912.105,2464695438.65,157856095.32,3778.8,50.05,15133.81,0,0.76,1947196541371.03,246.78,92662533.48,5e-17,4,0.76
0.7,4.75,11611.15,3252626291.06,208483949.17,4974.48,50.1,19912.24,0,0.85,2327576096495.49,247.13,110059353.7,5e-17,4,0.85
0.7,0.5,1226.37,0,0,0,1.01,0.13,0,0,196.38,0,302.92,5e-17,4,0
0.7,1,3327.89,0,0,0,18.74,0,0,0,746521.11,0.24,28609.96,5e-17,4,0
0.7,1.5,1360.705,0,0,0,42.17,0,0,0,1806456.79,0.04,5763.85,5e-17,4,0
0.7,2,1232.55,0,0,0,49.39,0,0,0,3857614.85,0.02,2595.74,5e-17,4,0
0.7,2.5,1868.815,0,0,0,50.03,0,0,0,7830826.42,0.01,1551.49,5e-17,4,0
0.7,3,10356.9,9.43,0.49,0,50.09,0,0,0,31821003.51,0,2289.32,5e-17,4,0
0.7,3.5,16182.955,852848524.41,54605196.12,1311.71,50.03,5230.84,0,0.29,807762259840.8,169.39,38542597.37,5e-17,4,0.29
0.7,4,13857.44,1986235488.12,127320684.69,3035.33,50.11,12156.3,0,0.64,1675594871110.91,239.06,79391897.7,5e-17,4,0.64
0.7,4.5,12285.62,2881124252.72,184581879.81,4421.63,50.07,17724.36,0,0.77,2176076427170.42,249.04,103418983.02,5e-17,4,0.77
0.7,5,11276.625,3583979244.32,229937543.16,5467.37,50.16,21874.61,0,0.84,2501216842555.21,248.46,117967947.4,5e-17,4,0.84
0.75,0.75,17108.035,213.82,3.33,1.07,1.42,4.43,0,0,59095.59,0.25,38882.42,5e-17,4,0
0.75,1.25,1866.15,0,0,0,31.89,0,0,0,1290305.2,0.11,13513.05,5e-17,4,0
0.75,1.75,1227.65,0,0,0,47.19,0,0,0,2442493.57,0.04,3327.87,5e-17,4,0
0.75,2.25,1308.54,0,0,0,49.79,0,0,0,4856389.69,0.02,1782.55,5e-17,4,0
0.75,2.75,2701.93,0,0,0,50.02,0,0,0,11504434.86,0,1472.09,5e-17,4,0
0.75,3.25,18250.5,1502766.43,97667.79,2.34,50.05,8.76,0,0,1932162082.08,0.62,89083.35,5e-17,4,0
0.75,3.75,15189.575,1324005260.06,86144062.77,1937.43,50.07,7744.08,0,0.47,1224022126205.99,203.22,54797352.88,5e-17,4,0.47
0.75,4.25,12905.415,2345878546.82,152616859.26,3440.44,50.06,13744.96,0,0.68,1878268098436.83,235.77,84111622.66,5e-17,4,0.68
0.75,4.75,11174.835,3150519705.4,204995647.11,4626.51,50.07,18495.43,0,0.83,2198880841178.01,230.47,98415265.53,5e-17,4,0.83
0.75,0.5,673.805,0,0,0,1,0.1,0,0,77.84,0,96.3,5e-17,4,0
0.75,1,4704.905,0.55,0.01,0,15.11,0,0,0,677930.56,0.22,31830.52,5e-17,4,0
0.75,1.5,1403.85,0,0,0,41.79,0,0,0,1791025.85,0.05,6259.59,5e-17,4,0
0.75,2,1213.085,0,0,0,48.95,0.03,0,0,3459363.64,0.03,2500.2,5e-17,4,0
0.75,2.5,1696.68,0,0,0,50,0,0,0,7128029.91,0.01,1522.61,5e-17,4,0
0.75,3,8529.295,1.04,0.08,0,50.05,0,0,0,26776382.86,0.01,2038.44,5e-17,4,0
0.75,3.5,16637.55,699978385.26,45552120.49,1025.35,50.1,4105.9,0,0.23,684147844906.67,144.56,30621299.51,5e-17,4,0.23
0.75,4,13699.395,1850601466.36,120386928.79,2710.79,50.05,10842.56,0,0.67,1577180210566.18,225.14,70710604.96,5e-17,4,0.67
0.75,4.5,12528.505,2766673902.17,180098597.54,4048.46,50.1,16202.62,0,0.72,2164321242249.44,246.32,96601472.69,5e-17,4,0.72
0.75,5,10512.7,3489993829.65,227190131.94,5096.63,50.1,20406.59,0,0.87,2296067840656.88,225.43,102382701.32,5e-17,4,0.87
0.8,0.75,14905.165,97.9,1.49,0.44,1.18,1.64,0,0,29559.61,0.08,18121.84,5e-17,4,0
0.8,1.25,2085.31,0,0,0,28.99,0,0,0,1152540.12,0.1,13238.56,5e-17,4,0
0.8,1.75,1260.045,0,0,0,46.14,0,0,0,2447442.81,0.04,3647.43,5e-17,4,0
0.8,2.25,1293.71,0,0,0,49.8,0,0,0,4723237.74,0.02,1947.53,5e-17,4,0
0.8,2.75,2355.5,0,0,0,50.04,0,0,0,10709806.4,0.02,1389.96,5e-17,4,0
0.8,3.25,18250.5,122.02,7.74,0,50.08,0,0,0,133259977.73,0.06,6761.32,5e-17,4,0
0.8,3.75,15943.27,1191865149.25,78727515.36,1670.82,50.06,6691.24,0,0.42,1174572809420.84,197.49,49702597.84,5e-17,4,0.42
0.8,4.25,14311.285,2218819412.81,146731928.86,3106.19,50.14,12412.99,0,0.61,2007431844654.72,251.21,84187264.77,5e-17,4,0.61
0.8,4.75,11611.08,3042094052.18,201071193.28,4264.11,50.1,17044.59,0,0.8,2240972966761.82,233.01,94226291.12,5e-17,4,0.8
0.8,0.5,503.48,0,0,0,1,0,0,0,49.29,0,0,5e-17,4,0
0.8,1,6202.125,4.35,0.07,0,12.63,0,0,0,648549.08,0.3,40094.83,5e-17,4,0
0.8,1.5,1476.585,0,0,0,40.07,0,0,0,1749339.33,0.04,6571.51,5e-17,4,0
0.8,2,1213.95,0,0,0,48.89,0,0,0,3333509.82,0.02,2477.51,5e-17,4,0
0.8,2.5,1588.79,0,0,0,50.01,0,0,0,6782982.06,0.01,1531.62,5e-17,4,0
0.8,3,5852.955,0.31,0,0,50.01,0,0,0,21313901.02,0,1646.02,5e-17,4,0
0.8,3.5,17229.09,567138412.81,37443797.55,800.47,50.03,3208.28,0,0.2,574363818441.96,123.55,24342466.53,5e-17,4,0.2
0.8,4,13733.03,1736245509.72,114768416.84,2426.61,50.11,9698.81,0,0.58,1489451724860.17,210.57,62735388.32,5e-17,4,0.58
0.8,4.5,11898.59,2656661485.71,175567452.85,3717.82,50.09,14887.95,0,0.76,1996163557309.22,224.95,83974406.92,5e-17,4,0.76
0.8,5,11785.365,3385997101.83,223938065.82,4740.88,50.14,18965.7,0,0.79,2546183065503.79,246.85,106831027.46,5e-17,4,0.79
0.85,0.75,10367.095,40.79,0.65,0.22,1.06,1.01,0,0,12978.36,0.03,5968.86,5e-17,4,0
0.85,1.25,2456.595,0,0,0,25.15,0,0,0,1043903.48,0.05,13383.9,5e-17,4,0
0.85,1.75,1292.02,0,0,0,45.01,0,0,0,2270990.49,0.02,3805.59,5e-17,4,0
0.85,2.25,1272.595,0,0,0,49.71,0,0,0,4466354.43,0.02,1763.56,5e-17,4,0
0.85,2.75,2260.3,0,0,0,50.06,0,0,0,9650384.19,0,1323.99,5e-17,4,0
0.85,3.25,16034.045,53.28,3.34,0,50.02,0,0,0,69662941.97,0.05,3659.24,5e-17,4,0
0.85,3.75,15718.73,1061313603.03,71143782.77,1435.64,50.04,5735.65,0,0.44,1037546449927.74,174.22,41448834.01,5e-17,4,0.44
0.85,4.25,13012.215,2103529242.54,141179223.29,2816.92,50.12,11243.36,0,0.76,1746555358368.08,218.15,69337631.31,5e-17,4,0.76
0.85,4.75,12095.985,2937882210.95,197095218.71,3947.36,50.09,15779.68,0,0.81,2290480714121.97,235.44,91041515.3,5e-17,4,0.81
0.85,0.5,415.755,0,0,0,1,0,0,0,34.02,0,0,5e-17,4,0
0.85,1,11265.485,25.81,0.65,0.03,8.62,0.15,0,0,544060.89,0.22,43747.26,5e-17,4,0
0.85,1.5,1578.62,0,0,0,37.55,0,0,0,1562335.74,0.03,6390.12,5e-17,4,0
0.85,2,1205.92,0,0,0,48.21,0,0,0,3105409.12,0,2498.41,5e-17,4,0
0.85,2.5,1530.295,0,0,0,49.98,0,0,0,6298898.88,0,1430.27,5e-17,4,0
0.85,3,4739.42,0,0,0,50.04,0,0,0,18154347.95,0.01,1476.78,5e-17,4,0
0.85,3.5,17235.395,418522550.07,28062220.77,560.42,50.07,2241.03,0,0.16,417124481626.83,89.26,16647370.7,5e-17,4,0.16
0.85,4,14000.895,1616229266.6,108393513.38,2170.85,50.07,8686.19,0,0.58,1430392036839.68,203.99,56988924.35,5e-17,4,0.58
0.85,4.5,12562.66,2544444779.68,170717963.56,3399.27,50.1,13583.12,0,0.76,2052114862747.56,230.02,81550084.92,5e-17,4,0.76
0.85,5,11801.81,3290992360.02,220786535.12,4424.73,50.09,17703.8,0,0.83,2511526189449.17,239.87,99678623.64,5e-17,4,0.83
0.9,0.75,7366.345,6.39,0.14,0.01,1.03,0.14,0,0,5757.04,0.04,2357.24,5e-17,4,0
0.9,1.25,2691.865,0,0,0,23.07,0,0,0,1059528.45,0.22,16152.39,5e-17,4,0
0.9,1.75,1338.23,0,0,0,43.77,0,0,0,2117653.86,0.03,3585.03,5e-17,4,0
0.9,2.25,1241.27,0,0,0,49.54,0,0,0,4125463.89,0.01,1829.54,5e-17,4,0
0.9,2.75,1976.94,0,0,0,50.06,0,0,0,9122584.88,0,1296.43,5e-17,4,0
0.9,3.25,13977.11,22.48,1.71,0,50.01,0,0,0,47474821.67,0.01,2607.94,5e-17,4,0
0.9,3.75,15551.54,930658549.5,63297394.61,1205.49,50.02,4823.04,0,0.42,906027647497.14,155.75,34217026.33,5e-17,4,0.42
0.9,4.25,12971.69,1988222919.29,135381595.34,2567.59,50.1,10273.94,0,0.7,1666017767136.22,205.97,62553070.79,5e-17,4,0.7
0.9,4.75,12550.04,2834708843.27,192952077.59,3651.5,50.07,14604.17,0,0.75,2326591267681.66,238.33,87353202.43,5e-17,4,0.75
0.9,0.5,377.555,0,0,0,1,0,0,0,30.42,0,0,5e-17,4,0
0.9,1,16281.6,75.85,1.71,0.03,5.27,0.1,0,0,392005.69,0.33,46342.5,5e-17,4,0
0.9,1.5,1646.155,0,0,0,36.03,0,0,0,1526692.61,0.01,6725.72,5e-17,4,0
0.9,2,1223.97,0,0,0,48.06,0,0,0,3080471.1,0.02,2522.33,5e-17,4,0
0.9,2.5,1466.345,0,0,0,50.02,0,0,0,5932993.45,0,1364.16,5e-17,4,0
0.9,3,3767.88,0,0,0,50.04,0,0,0,15749568.85,0,1285.05,5e-17,4,0
0.9,3.5,17537,272855259.97,18565001.34,352.77,50.09,1413.04,0,0.13,265075195621.43,58.87,9993839.49,5e-17,4,0.13
0.9,4,14688.335,1484999210.75,101140258.58,1909.73,50.12,7631.26,0,0.51,1398297907347.25,197.61,52418015.55,5e-17,4,0.51
0.9,4.5,13004.015,2434432889.95,165752483.1,3130.93,50.09,12536.88,0,0.69,2060152653924.11,228.79,77154511.85,5e-17,4,0.69
